"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.690000,0,42,yes,0.000000,70.310000,0.000000,0.000000,102.000000,,0.000000,5.200000,4.160000,0.000000,6.000000,,0.000000,27.530000,27.530000,0.000000,36.000000,,1.000000
27,SAND,142.317000,474.390000,140.704000,0,314,no,0.000000,322.130000,0.000000,0.000000,588.000000,,0.000000,57.780000,46.224000,0.000000,128.000000,,0.000000,94.480000,94.480000,0.000000,186.000000,,0.988666
26,REEFAWASH,64.260000,214.200000,51.668000,0,183,no,0.000000,156.720000,0.000000,0.000000,494.000000,,0.000000,29.060000,23.248000,0.000000,79.000000,,0.000000,28.420000,28.420000,0.000000,104.000000,,0.804046
25,REEF,328.281000,1094.270000,328.376000,0,559,yes,0.000000,740.660000,0.000000,0.000000,1216.000000,,0.000000,126.170000,100.936000,0.000000,210.000000,,0.000000,227.440000,227.440000,0.000000,349.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.092000,0,74,yes,0.000000,107.780000,0.000000,0.000000,139.000000,,0.000000,31.940000,25.552000,0.000000,42.000000,,0.000000,23.540000,23.540000,0.000000,32.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.496000,0,19,yes,0.000000,30.510000,0.000000,0.000000,56.000000,,0.000000,0.720000,0.576000,0.000000,1.000000,,0.000000,12.920000,12.920000,0.000000,18.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,44.976000,0,118,no,0.000000,192.510000,0.000000,0.000000,321.000000,,0.000000,15.970000,12.776000,0.000000,50.000000,,0.000000,32.200000,32.200000,0.000000,68.000000,,0.622902
21,ISLNDISLET,0.792000,2.640000,1.214000,0,19,yes,0.000000,1.350000,0.000000,0.000000,29.000000,,0.000000,0.380000,0.304000,0.000000,10.000000,,0.000000,0.910000,0.910000,0.000000,9.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,23.364000,0,112,no,0.000000,68.930000,0.000000,0.000000,307.000000,,0.000000,8.680000,6.944000,0.000000,40.000000,,0.000000,16.420000,16.420000,0.000000,72.000000,,0.828246
19,CORAL3,93.045000,310.150000,81.218000,0,130,no,0.000000,218.540000,0.000000,0.000000,319.000000,,0.000000,51.960000,41.568000,0.000000,72.000000,,0.000000,39.650000,39.650000,0.000000,58.000000,,0.872889
18,CORAL2,26.310000,87.700000,15.766000,0,37,no,0.000000,69.020000,0.000000,0.000000,110.000000,,0.000000,14.570000,11.656000,0.000000,28.000000,,0.000000,4.110000,4.110000,0.000000,9.000000,,0.599240
