"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.978000,0,42,yes,0.000000,70.720000,0.000000,0.000000,102.000000,,0.000000,6.710000,5.368000,0.000000,9.000000,,0.000000,25.610000,25.610000,0.000000,33.000000,,1.000000
27,SAND,142.317000,474.390000,147.962000,0,312,yes,0.000000,310.900000,0.000000,0.000000,590.000000,,0.000000,77.640000,62.112000,0.000000,125.000000,,0.000000,85.850000,85.850000,0.000000,187.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,44.666000,0,176,no,0.000000,166.390000,0.000000,0.000000,501.000000,,0.000000,15.720000,12.576000,0.000000,61.000000,,0.000000,32.090000,32.090000,0.000000,115.000000,,0.695082
25,REEF,328.281000,1094.270000,328.538000,0,548,yes,0.000000,745.300000,0.000000,0.000000,1227.000000,,0.000000,102.160000,81.728000,0.000000,170.000000,,0.000000,246.810000,246.810000,0.000000,378.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.558000,0,72,yes,0.000000,106.620000,0.000000,0.000000,141.000000,,0.000000,35.410000,28.328000,0.000000,47.000000,,0.000000,21.230000,21.230000,0.000000,25.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.246000,0,24,yes,0.000000,30.900000,0.000000,0.000000,51.000000,,0.000000,0.020000,0.016000,0.000000,1.000000,,0.000000,13.230000,13.230000,0.000000,23.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,51.982000,0,123,no,0.000000,185.840000,0.000000,0.000000,316.000000,,0.000000,14.290000,11.432000,0.000000,30.000000,,0.000000,40.550000,40.550000,0.000000,93.000000,,0.719932
21,ISLNDISLET,0.792000,2.640000,1.260000,0,16,yes,0.000000,1.350000,0.000000,0.000000,32.000000,,0.000000,0.150000,0.120000,0.000000,5.000000,,0.000000,1.140000,1.140000,0.000000,11.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,26.062000,0,117,no,0.000000,66.660000,0.000000,0.000000,302.000000,,0.000000,6.540000,5.232000,0.000000,34.000000,,0.000000,20.830000,20.830000,0.000000,83.000000,,0.923890
19,CORAL3,93.045000,310.150000,125.794000,0,180,yes,0.000000,178.660000,0.000000,0.000000,269.000000,,0.000000,28.480000,22.784000,0.000000,45.000000,,0.000000,103.010000,103.010000,0.000000,135.000000,,1.000000
18,CORAL2,26.310000,87.700000,9.782000,0,25,no,0.000000,76.780000,0.000000,0.000000,122.000000,,0.000000,5.690000,4.552000,0.000000,13.000000,,0.000000,5.230000,5.230000,0.000000,12.000000,,0.371798
17,CORAL1,74.082000,246.940000,74.190000,0,109,yes,0.000000,170.740000,0.000000,0.000000,272.000000,,0.000000,10.050000,8.040000,0.000000,15.000000,,0.000000,66.150000,66.150000,0.000000,94.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,no,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.594000,0,4,yes,0.000000,0.640000,0.000000,0.000000,14.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.450000,0.450000,0.000000,3.000000,,1.000000
14,PUD,4.746000,15.820000,5.742000,0,53,yes,0.000000,9.680000,0.000000,0.000000,107.000000,,0.000000,1.990000,1.592000,0.000000,13.000000,,0.000000,4.150000,4.150000,0.000000,40.000000,,1.000000
