"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.124000,0,39,yes,0.000000,70.610000,0.000000,0.000000,105.000000,,0.000000,6.530000,5.224000,0.000000,8.000000,,0.000000,25.900000,25.900000,0.000000,31.000000,,1.000000
27,SAND,142.317000,474.390000,155.370000,0,334,yes,0.000000,301.870000,0.000000,0.000000,568.000000,,0.000000,85.750000,68.600000,0.000000,149.000000,,0.000000,86.770000,86.770000,0.000000,185.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,48.666000,0,180,no,0.000000,161.990000,0.000000,0.000000,497.000000,,0.000000,17.720000,14.176000,0.000000,57.000000,,0.000000,34.490000,34.490000,0.000000,123.000000,,0.757330
25,REEF,328.281000,1094.270000,328.566000,0,556,yes,0.000000,741.250000,0.000000,0.000000,1219.000000,,0.000000,122.270000,97.816000,0.000000,201.000000,,0.000000,230.750000,230.750000,0.000000,355.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.306000,0,76,yes,0.000000,107.470000,0.000000,0.000000,137.000000,,0.000000,32.420000,25.936000,0.000000,49.000000,,0.000000,23.370000,23.370000,0.000000,27.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.286000,0,23,yes,0.000000,30.280000,0.000000,0.000000,52.000000,,0.000000,2.920000,2.336000,0.000000,5.000000,,0.000000,10.950000,10.950000,0.000000,18.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,50.152000,0,125,no,0.000000,184.110000,0.000000,0.000000,314.000000,,0.000000,32.090000,25.672000,0.000000,61.000000,,0.000000,24.480000,24.480000,0.000000,64.000000,,0.694588
21,ISLNDISLET,0.792000,2.640000,1.040000,0,14,yes,0.000000,1.400000,0.000000,0.000000,34.000000,,0.000000,1.000000,0.800000,0.000000,9.000000,,0.000000,0.240000,0.240000,0.000000,5.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,24.466000,0,105,no,0.000000,68.720000,0.000000,0.000000,314.000000,,0.000000,4.220000,3.376000,0.000000,29.000000,,0.000000,21.090000,21.090000,0.000000,76.000000,,0.867312
19,CORAL3,93.045000,310.150000,98.390000,0,152,yes,0.000000,203.820000,0.000000,0.000000,297.000000,,0.000000,39.700000,31.760000,0.000000,63.000000,,0.000000,66.630000,66.630000,0.000000,89.000000,,1.000000
18,CORAL2,26.310000,87.700000,14.944000,0,30,no,0.000000,72.020000,0.000000,0.000000,117.000000,,0.000000,3.680000,2.944000,0.000000,7.000000,,0.000000,12.000000,12.000000,0.000000,23.000000,,0.567997
17,CORAL1,74.082000,246.940000,74.088000,0,104,yes,0.000000,171.480000,0.000000,0.000000,277.000000,,0.000000,6.860000,5.488000,0.000000,10.000000,,0.000000,68.600000,68.600000,0.000000,94.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,yes,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.330000,0,2,no,0.000000,0.940000,0.000000,0.000000,16.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.330000,0.330000,0.000000,2.000000,,0.866142
14,PUD,4.746000,15.820000,5.074000,0,43,yes,0.000000,10.220000,0.000000,0.000000,117.000000,,0.000000,2.630000,2.104000,0.000000,16.000000,,0.000000,2.970000,2.970000,0.000000,27.000000,,1.000000
13,BEACH,4.476000,14.920000,4.478000,0,37,yes,0.000000,9.960000,0.000000,0.000000,114.000000,,0.000000,2.410000,1.928000,0.000000,14.000000,,0.000000,2.550000,2.550000,0.000000,23.000000,,1.000000
12,APUF,0.294000,0.980000,0.374000,0,8,yes,0.000000,0.530000,0.000000,0.000000,14.000000,,0.000000,0.380000,0.304000,0.000000,6.000000,,0.000000,0.070000,0.070000,0.000000,2.000000,,1.000000
11,ABAS,0.156000,0.520000,0.180000,0,2,yes,0.000000,0.340000,0.000000,0.000000,7.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.180000,0.180000,0.000000,2.000000,,1.000000
10,DEEP,11.931000,39.770000,12.004000,0,17,yes,0.000000,26.850000,0.000000,0.000000,47.000000,,0.000000,4.580000,3.664000,0.000000,6.000000,,0.000000,8.340000,8.340000,0.000000,11.000000,,1.000000
9,MEDIUM,261.228000,870.760000,190.940000,0,341,no,0.000000,663.810000,0.000000,0.000000,1091.000000,,0.000000,80.050000,64.040000,0.000000,124.000000,,0.000000,126.900000,126.900000,0.000000,217.000000,,0.730932
8,SHALLOW,419.085000,1396.950000,431.940000,0,599,yes,0.000000,925.390000,0.000000,0.000000,1301.000000,,0.000000,198.100000,158.480000,0.000000,248.000000,,0.000000,273.460000,273.460000,0.000000,351.000000,,1.000000
7,INVERT,161.826000,539.420000,161.972000,0,196,yes,0.000000,369.790000,0.000000,0.000000,463.000000,,0.000000,38.290000,30.632000,0.000000,52.000000,,0.000000,131.340000,131.340000,0.000000,144.000000,,1.000000
6,FISH3,9.270000,30.900000,9.310000,0,15,yes,0.000000,21.550000,0.000000,0.000000,41.000000,,0.000000,0.200000,0.160000,0.000000,1.000000,,0.000000,9.150000,9.150000,0.000000,14.000000,,1.000000
5,FISH2,5.616000,18.720000,0.762000,0,2,no,0.000000,17.870000,0.000000,0.000000,30.000000,,0.000000,0.440000,0.352000,0.000000,1.000000,,0.000000,0.410000,0.410000,0.000000,1.000000,,0.135684
4,FISH1,16.698000,55.660000,16.810000,0,23,yes,0.000000,38.450000,0.000000,0.000000,59.000000,,0.000000,2.000000,1.600000,0.000000,2.000000,,0.000000,15.210000,15.210000,0.000000,21.000000,,1.000000
3,SEAGRASS2,12.810000,42.700000,14.090000,0,20,yes,0.000000,28.610000,0.000000,0.000000,43.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,14.090000,14.090000,0.000000,20.000000,,1.000000
2,SEAGRASS1,19.134000,63.780000,0.934000,0,8,no,0.000000,62.660000,0.000000,0.000000,109.000000,,0.000000,0.930000,0.744000,0.000000,6.000000,,0.000000,0.190000,0.190000,0.000000,2.000000,,0.048814
1,SEAGRASS,51.012000,170.040000,34.876000,0,67,no,0.000000,128.920000,0.000000,0.000000,195.000000,,0.000000,31.220000,24.976000,0.000000,43.000000,,0.000000,9.900000,9.900000,0.000000,24.000000,,0.683682
