Run.Number,Score,Cost,Planning.Units,available.PuCount,partial.PuCount,reserved.PuCount,available.Cost,partial.Cost,reserved.Cost,Connection.Strength,Penalty,Shortfall,Missing_Values,MPM
65,74352.088179,1994.62,4237,3496,166,575,0,310,1645,72357.468179,0,196.026,11,0.011498
66,74385.02477,2030.43,4237,3423,179,635,0,361,1626,72354.59477,0,128.754,9,0.016202
67,74557.300616,2190.68,4237,3438,227,572,0,427,1717,72366.620616,0,128.383,10,0
68,74161.105098,1822.42,4237,3467,71,699,0,248,1533,72338.685098,0,141.092,11,0
69,74459.281952,2109.41,4237,3502,160,575,0,505,1564,72349.871952,0,222.53,14,0.016202
70,74318.890816,1978.15,4237,3443,234,560,0,186,1754,72340.740816,0,161.523,11,0.017769
71,74949.947855,2578.59,4237,3395,347,495,0,624,1907,72371.357855,0,181.646,11,0.01871
72,74478.649608,2127.92,4237,3274,119,844,0,467,1622,72350.729608,0,51.752,8,0.14245
73,74623.748014,2264.97,4237,3452,157,628,0,506,1710,72358.778013,0,166.267,12,0.055399
74,74469.33936,2117.83,4237,3467,247,523,0,291,1785,72351.50936,0,174.544,10,0
75,74504.061015,2151.43,4237,3468,225,544,0,436,1672,72352.631014,0,201.049,13,0
76,74432.597501,2075.28,4237,3467,261,509,0,525,1504,72357.3175,0,170.869,11,0
77,74527.733226,2175.95,4237,3514,256,467,0,222,1909,72351.783226,0,233.886,12,0
78,74800.691957,2433.13,4237,3400,496,341,0,513,1869,72367.561957,0,153.139,11,0.215456
79,74690.782077,2318.48,4237,3354,352,531,0,459,1812,72372.302077,0,170.774,11,0.142806
80,74234.305409,1884.19,4237,3487,154,596,0,351,1492,72350.115409,0,173.447,14,0.036375
81,74531.429947,2181.14,4237,3443,292,502,0,325,1816,72350.289947,0,140.998,9,0
82,74566.554933,2208.35,4237,3359,311,567,0,361,1808,72358.204933,0,152.249,10,0.009198
83,74243.861752,1890.91,4237,3485,284,468,0,320,1534,72352.951752,0,182.028,12,0.021428
84,74515.812506,2169.29,4237,3450,227,560,0,613,1514,72346.522506,0,148.95,9,0.046305
85,74492.682215,2136.19,4237,3401,354,482,0,514,1572,72356.492215,0,151.168,12,0.029999
86,74338.485181,1988.67,4237,3458,290,489,0,597,1353,72349.815181,0,174.215,11,0.009198
87,74470.254412,2115.09,4237,3428,207,602,0,282,1795,72355.164412,0,143.348,10,0
88,74566.718944,2208.04,4237,3463,269,505,0,516,1647,72358.678943,0,172.397,11,0
89,74412.498262,2059.96,4237,3309,443,485,0,414,1600,72352.538262,0,110.853,9,0.019546
90,74456.500461,2110.86,4237,3460,159,618,0,227,1849,72345.640461,0,148.458,9,0.038152
91,74524.066639,2160.41,4237,3472,225,540,0,321,1795,72363.656639,0,194.623,13,0.03972
92,74463.019148,2116.19,4237,3463,108,666,0,763,1305,72346.829148,0,137.237,11,0.011498
93,74366.291557,2013.68,4237,3388,266,583,0,286,1685,72352.611557,0,130.298,9,0.019128
94,74588.347251,2228.19,4237,3435,217,585,0,327,1859,72360.157251,0,133.673,10,0.007944
95,74351.035211,2000.79,4237,3462,145,630,0,349,1608,72350.245211,0,161.673,10,0.011498
96,74405.475084,2040.54,4237,3446,247,544,0,524,1475,72364.935084,0,147.379,11,0.022682
97,74614.030881,2251.64,4237,3455,291,491,0,361,1848,72362.390881,0,211.012,11,0.064103
98,74342.052658,1992.75,4237,3434,175,628,0,575,1374,72349.302658,0,136.294,10,0.012543
99,74501.190736,2150.33,4237,3416,135,686,0,371,1741,72350.860736,0,127.748,11,0
100,74446.471924,2089.1,4237,3435,326,476,0,473,1570,72357.371924,0,223.558,12,0
