"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.960000,0,40,yes,0.000000,70.690000,0.000000,0.000000,104.000000,,0.000000,6.950000,5.560000,0.000000,8.000000,,0.000000,25.400000,25.400000,0.000000,32.000000,,1.000000
27,SAND,142.317000,474.390000,142.032000,0,301,no,0.000000,323.560000,0.000000,0.000000,601.000000,,0.000000,43.990000,35.192000,0.000000,104.000000,,0.000000,106.840000,106.840000,0.000000,197.000000,,0.997997
26,REEFAWASH,64.260000,214.200000,50.910000,0,185,no,0.000000,158.850000,0.000000,0.000000,492.000000,,0.000000,22.200000,17.760000,0.000000,64.000000,,0.000000,33.150000,33.150000,0.000000,121.000000,,0.792250
25,REEF,328.281000,1094.270000,328.604000,0,551,yes,0.000000,744.910000,0.000000,0.000000,1224.000000,,0.000000,103.780000,83.024000,0.000000,169.000000,,0.000000,245.580000,245.580000,0.000000,382.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.046000,0,66,yes,0.000000,112.880000,0.000000,0.000000,147.000000,,0.000000,6.670000,5.336000,0.000000,12.000000,,0.000000,43.710000,43.710000,0.000000,54.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.450000,0,23,yes,0.000000,30.470000,0.000000,0.000000,52.000000,,0.000000,1.150000,0.920000,0.000000,3.000000,,0.000000,12.530000,12.530000,0.000000,20.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,45.272000,0,110,no,0.000000,191.660000,0.000000,0.000000,329.000000,,0.000000,18.740000,14.992000,0.000000,43.000000,,0.000000,30.280000,30.280000,0.000000,67.000000,,0.627001
21,ISLNDISLET,0.792000,2.640000,1.348000,0,16,yes,0.000000,1.280000,0.000000,0.000000,32.000000,,0.000000,0.060000,0.048000,0.000000,2.000000,,0.000000,1.300000,1.300000,0.000000,14.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,26.118000,0,116,no,0.000000,66.110000,0.000000,0.000000,303.000000,,0.000000,9.010000,7.208000,0.000000,41.000000,,0.000000,18.910000,18.910000,0.000000,75.000000,,0.925875
19,CORAL3,93.045000,310.150000,102.764000,0,145,yes,0.000000,205.660000,0.000000,0.000000,304.000000,,0.000000,8.630000,6.904000,0.000000,15.000000,,0.000000,95.860000,95.860000,0.000000,130.000000,,1.000000
18,CORAL2,26.310000,87.700000,15.028000,0,33,no,0.000000,69.860000,0.000000,0.000000,114.000000,,0.000000,14.060000,11.248000,0.000000,25.000000,,0.000000,3.780000,3.780000,0.000000,8.000000,,0.571190
17,CORAL1,74.082000,246.940000,74.538000,0,108,yes,0.000000,165.820000,0.000000,0.000000,273.000000,,0.000000,32.910000,26.328000,0.000000,41.000000,,0.000000,48.210000,48.210000,0.000000,67.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,no,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.580000,0,5,yes,0.000000,0.620000,0.000000,0.000000,13.000000,,0.000000,0.350000,0.280000,0.000000,3.000000,,0.000000,0.300000,0.300000,0.000000,2.000000,,1.000000
14,PUD,4.746000,15.820000,5.174000,0,47,yes,0.000000,10.270000,0.000000,0.000000,113.000000,,0.000000,1.880000,1.504000,0.000000,13.000000,,0.000000,3.670000,3.670000,0.000000,34.000000,,1.000000
13,BEACH,4.476000,14.920000,4.476000,0,42,no,0.000000,10.000000,0.000000,0.000000,109.000000,,0.000000,2.220000,1.776000,0.000000,19.000000,,0.000000,2.700000,2.700000,0.000000,23.000000,,1.000000
12,APUF,0.294000,0.980000,0.462000,0,10,yes,0.000000,0.500000,0.000000,0.000000,12.000000,,0.000000,0.090000,0.072000,0.000000,2.000000,,0.000000,0.390000,0.390000,0.000000,8.000000,,1.000000
11,ABAS,0.156000,0.520000,0.178000,0,2,yes,0.000000,0.310000,0.000000,0.000000,7.000000,,0.000000,0.160000,0.128000,0.000000,1.000000,,0.000000,0.050000,0.050000,0.000000,1.000000,,1.000000
10,DEEP,11.931000,39.770000,12.010000,0,17,yes,0.000000,27.720000,0.000000,0.000000,47.000000,,0.000000,0.200000,0.160000,0.000000,1.000000,,0.000000,11.850000,11.850000,0.000000,16.000000,,1.000000
9,MEDIUM,261.228000,870.760000,211.068000,0,361,no,0.000000,648.450000,0.000000,0.000000,1071.000000,,0.000000,56.210000,44.968000,0.000000,85.000000,,0.000000,166.100000,166.100000,0.000000,276.000000,,0.807984
8,SHALLOW,419.085000,1396.950000,378.060000,0,543,no,0.000000,991.610000,0.000000,0.000000,1357.000000,,0.000000,136.400000,109.120000,0.000000,177.000000,,0.000000,268.940000,268.940000,0.000000,366.000000,,0.902108
7,INVERT,161.826000,539.420000,161.880000,0,193,yes,0.000000,371.200000,0.000000,0.000000,466.000000,,0.000000,31.700000,25.360000,0.000000,38.000000,,0.000000,136.520000,136.520000,0.000000,155.000000,,1.000000
6,FISH3,9.270000,30.900000,9.318000,0,17,yes,0.000000,21.570000,0.000000,0.000000,39.000000,,0.000000,0.060000,0.048000,0.000000,1.000000,,0.000000,9.270000,9.270000,0.000000,16.000000,,1.000000
5,FISH2,5.616000,18.720000,1.160000,0,2,no,0.000000,17.270000,0.000000,0.000000,30.000000,,0.000000,1.450000,1.160000,0.000000,2.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.206553
4,FISH1,16.698000,55.660000,16.848000,0,27,yes,0.000000,36.300000,0.000000,0.000000,55.000000,,0.000000,12.560000,10.048000,0.000000,19.000000,,0.000000,6.800000,6.800000,0.000000,8.000000,,1.000000
3,SEAGRASS2,12.810000,42.700000,4.758000,0,9,no,0.000000,37.930000,0.000000,0.000000,54.000000,,0.000000,0.060000,0.048000,0.000000,1.000000,,0.000000,4.710000,4.710000,0.000000,8.000000,,0.371429
2,SEAGRASS1,19.134000,63.780000,0.760000,0,7,no,0.000000,63.020000,0.000000,0.000000,110.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.760000,0.760000,0.000000,7.000000,,0.039720
1,SEAGRASS,51.012000,170.040000,32.396000,0,55,no,0.000000,136.310000,0.000000,0.000000,207.000000,,0.000000,6.670000,5.336000,0.000000,14.000000,,0.000000,27.060000,27.060000,0.000000,41.000000,,0.635066
