"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.230000,0,42,yes,0.000000,70.590000,0.000000,0.000000,102.000000,,0.000000,6.100000,4.880000,0.000000,8.000000,,0.000000,26.350000,26.350000,0.000000,34.000000,,1.000000
27,SAND,142.317000,474.390000,141.646000,0,315,no,0.000000,322.260000,0.000000,0.000000,587.000000,,0.000000,52.420000,41.936000,0.000000,99.000000,,0.000000,99.710000,99.710000,0.000000,216.000000,,0.995285
26,REEFAWASH,64.260000,214.200000,54.842000,0,192,no,0.000000,157.390000,0.000000,0.000000,485.000000,,0.000000,9.840000,7.872000,0.000000,41.000000,,0.000000,46.970000,46.970000,0.000000,151.000000,,0.853439
25,REEF,328.281000,1094.270000,328.284000,0,553,yes,0.000000,744.130000,0.000000,0.000000,1222.000000,,0.000000,109.280000,87.424000,0.000000,170.000000,,0.000000,240.860000,240.860000,0.000000,383.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.018000,0,70,yes,0.000000,108.360000,0.000000,0.000000,143.000000,,0.000000,29.410000,23.528000,0.000000,39.000000,,0.000000,25.490000,25.490000,0.000000,31.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.454000,0,24,yes,0.000000,29.970000,0.000000,0.000000,51.000000,,0.000000,3.630000,2.904000,0.000000,5.000000,,0.000000,10.550000,10.550000,0.000000,19.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,64.162000,0,140,no,0.000000,173.940000,0.000000,0.000000,299.000000,,0.000000,12.890000,10.312000,0.000000,29.000000,,0.000000,53.850000,53.850000,0.000000,111.000000,,0.888621
21,ISLNDISLET,0.792000,2.640000,1.136000,0,17,yes,0.000000,1.470000,0.000000,0.000000,31.000000,,0.000000,0.170000,0.136000,0.000000,5.000000,,0.000000,1.000000,1.000000,0.000000,12.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,21.174000,0,103,no,0.000000,71.700000,0.000000,0.000000,316.000000,,0.000000,5.780000,4.624000,0.000000,27.000000,,0.000000,16.550000,16.550000,0.000000,76.000000,,0.750612
19,CORAL3,93.045000,310.150000,80.084000,0,131,no,0.000000,220.060000,0.000000,0.000000,318.000000,,0.000000,50.030000,40.024000,0.000000,76.000000,,0.000000,40.060000,40.060000,0.000000,55.000000,,0.860702
18,CORAL2,26.310000,87.700000,22.116000,0,41,no,0.000000,64.690000,0.000000,0.000000,106.000000,,0.000000,4.470000,3.576000,0.000000,8.000000,,0.000000,18.540000,18.540000,0.000000,33.000000,,0.840593
17,CORAL1,74.082000,246.940000,74.236000,0,105,yes,0.000000,171.840000,0.000000,0.000000,276.000000,,0.000000,4.320000,3.456000,0.000000,6.000000,,0.000000,70.780000,70.780000,0.000000,99.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,yes,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.470000,0,3,yes,0.000000,0.800000,0.000000,0.000000,15.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.470000,0.470000,0.000000,3.000000,,1.000000
14,PUD,4.746000,15.820000,5.900000,0,49,yes,0.000000,9.500000,0.000000,0.000000,111.000000,,0.000000,2.100000,1.680000,0.000000,17.000000,,0.000000,4.220000,4.220000,0.000000,32.000000,,1.000000
13,BEACH,4.476000,14.920000,4.478000,0,37,yes,0.000000,10.060000,0.000000,0.000000,114.000000,,0.000000,1.910000,1.528000,0.000000,12.000000,,0.000000,2.950000,2.950000,0.000000,25.000000,,1.000000
12,APUF,0.294000,0.980000,0.370000,0,8,yes,0.000000,0.530000,0.000000,0.000000,14.000000,,0.000000,0.400000,0.320000,0.000000,7.000000,,0.000000,0.050000,0.050000,0.000000,1.000000,,1.000000
11,ABAS,0.156000,0.520000,0.160000,0,5,yes,0.000000,0.360000,0.000000,0.000000,4.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.160000,0.160000,0.000000,5.000000,,1.000000
10,DEEP,11.931000,39.770000,12.272000,0,17,yes,0.000000,26.430000,0.000000,0.000000,47.000000,,0.000000,5.340000,4.272000,0.000000,9.000000,,0.000000,8.000000,8.000000,0.000000,8.000000,,1.000000
9,MEDIUM,261.228000,870.760000,205.976000,0,355,no,0.000000,651.060000,0.000000,0.000000,1077.000000,,0.000000,68.620000,54.896000,0.000000,108.000000,,0.000000,151.080000,151.080000,0.000000,247.000000,,0.788491
8,SHALLOW,419.085000,1396.950000,403.100000,0,578,no,0.000000,964.530000,0.000000,0.000000,1322.000000,,0.000000,146.600000,117.280000,0.000000,198.000000,,0.000000,285.820000,285.820000,0.000000,380.000000,,0.961857
