"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74466.914520,2109.250000,4237,3392,279,566,0,387,1682,72357.664520,0.000000,170.460000,11,0.080128
2,74140.122406,1806.640000,4237,3457,44,736,0,100,1667,72333.482406,0.000000,128.330000,8,0.000000
3,74283.672364,1928.880000,4237,3454,291,492,0,411,1475,72354.792364,0.000000,182.384000,12,0.014111
4,74370.546332,2028.920000,4237,3425,124,688,0,562,1425,72341.626332,0.000000,121.774000,8,0.016202
5,74551.215605,2204.820000,4237,3406,309,522,0,387,1777,72346.395605,0.000000,130.352000,9,0.009512
6,74347.503471,2000.010000,4237,3486,104,647,0,519,1441,72347.493471,0.000000,147.256000,9,0.013588
7,74378.909575,2032.800000,4237,3415,282,540,0,501,1491,72346.109575,0.000000,116.858000,9,0.056235
8,74763.535137,2398.980000,4237,3467,314,456,0,372,1983,72364.555137,0.000000,207.572000,13,0.056340
9,74436.217985,2090.090000,4237,3372,231,634,0,635,1416,72346.127985,0.000000,157.262000,10,0.001568
10,74529.684372,2175.360000,4237,3432,250,555,0,428,1703,72354.324372,0.000000,140.502000,9,0.008903
