"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.440000,0,43,yes,0.000000,69.080000,0.000000,0.000000,101.000000,,0.000000,12.600000,10.080000,0.000000,13.000000,,0.000000,21.360000,21.360000,0.000000,30.000000,,1.000000
27,SAND,142.317000,474.390000,178.092000,0,344,yes,0.000000,290.090000,0.000000,0.000000,558.000000,,0.000000,31.040000,24.832000,0.000000,66.000000,,0.000000,153.260000,153.260000,0.000000,278.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,46.242000,0,175,no,0.000000,165.040000,0.000000,0.000000,502.000000,,0.000000,14.590000,11.672000,0.000000,51.000000,,0.000000,34.570000,34.570000,0.000000,124.000000,,0.719608
25,REEF,328.281000,1094.270000,328.858000,0,552,yes,0.000000,747.230000,0.000000,0.000000,1223.000000,,0.000000,90.910000,72.728000,0.000000,141.000000,,0.000000,256.130000,256.130000,0.000000,411.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.378000,0,73,yes,0.000000,110.890000,0.000000,0.000000,140.000000,,0.000000,14.960000,11.968000,0.000000,22.000000,,0.000000,37.410000,37.410000,0.000000,51.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.516000,0,24,yes,0.000000,30.170000,0.000000,0.000000,51.000000,,0.000000,2.320000,1.856000,0.000000,5.000000,,0.000000,11.660000,11.660000,0.000000,19.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,61.968000,0,129,no,0.000000,176.820000,0.000000,0.000000,310.000000,,0.000000,9.460000,7.568000,0.000000,26.000000,,0.000000,54.400000,54.400000,0.000000,103.000000,,0.858235
21,ISLNDISLET,0.792000,2.640000,1.254000,0,17,yes,0.000000,1.380000,0.000000,0.000000,31.000000,,0.000000,0.030000,0.024000,0.000000,2.000000,,0.000000,1.230000,1.230000,0.000000,15.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,24.764000,0,115,no,0.000000,67.540000,0.000000,0.000000,304.000000,,0.000000,8.630000,6.904000,0.000000,33.000000,,0.000000,17.860000,17.860000,0.000000,82.000000,,0.877876
19,CORAL3,93.045000,310.150000,85.046000,0,128,no,0.000000,223.510000,0.000000,0.000000,321.000000,,0.000000,7.970000,6.376000,0.000000,12.000000,,0.000000,78.670000,78.670000,0.000000,116.000000,,0.914031
18,CORAL2,26.310000,87.700000,18.940000,0,41,no,0.000000,67.940000,0.000000,0.000000,106.000000,,0.000000,4.100000,3.280000,0.000000,7.000000,,0.000000,15.660000,15.660000,0.000000,34.000000,,0.719878
17,CORAL1,74.082000,246.940000,74.244000,0,108,yes,0.000000,165.740000,0.000000,0.000000,273.000000,,0.000000,34.780000,27.824000,0.000000,41.000000,,0.000000,46.420000,46.420000,0.000000,67.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,yes,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.630000,0,4,yes,0.000000,0.640000,0.000000,0.000000,14.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.630000,0.630000,0.000000,4.000000,,1.000000
14,PUD,4.746000,15.820000,6.124000,0,51,yes,0.000000,9.400000,0.000000,0.000000,109.000000,,0.000000,1.480000,1.184000,0.000000,12.000000,,0.000000,4.940000,4.940000,0.000000,39.000000,,1.000000
13,BEACH,4.476000,14.920000,4.506000,0,35,yes,0.000000,10.170000,0.000000,0.000000,116.000000,,0.000000,1.220000,0.976000,0.000000,8.000000,,0.000000,3.530000,3.530000,0.000000,27.000000,,1.000000
