"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74665.193515,2309.630000,4237,3422,227,588,0,688,1578,72355.563515,0.000000,134.270000,10,0.021010
2,74430.581163,2079.000000,4237,3433,161,643,0,332,1705,72351.581163,0.000000,130.162000,10,0.011184
3,74367.830548,2012.940000,4237,3436,175,626,0,287,1684,72354.890548,0.000000,125.491000,10,0.000000
4,74553.966965,2209.550000,4237,3422,131,684,0,516,1655,72344.416965,0.000000,116.546000,11,0.017769
5,74352.088179,1994.620000,4237,3496,166,575,0,310,1645,72357.468179,0.000000,196.026000,11,0.011498
6,74385.024770,2030.430000,4237,3423,179,635,0,361,1626,72354.594770,0.000000,128.754000,9,0.016202
7,74557.300616,2190.680000,4237,3438,227,572,0,427,1717,72366.620616,0.000000,128.383000,10,0.000000
8,74161.105098,1822.420000,4237,3467,71,699,0,248,1533,72338.685098,0.000000,141.092000,11,0.000000
9,74459.281952,2109.410000,4237,3502,160,575,0,505,1564,72349.871952,0.000000,222.530000,14,0.016202
10,74318.890816,1978.150000,4237,3443,234,560,0,186,1754,72340.740816,0.000000,161.523000,11,0.017769
