"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74531.429947,2181.140000,4237,3443,292,502,0,325,1816,72350.289947,0.000000,140.998000,9,-0.000000
2,74566.554933,2208.350000,4237,3359,311,567,0,361,1808,72358.204933,0.000000,152.249000,10,0.009198
3,74243.861752,1890.910000,4237,3485,284,468,0,320,1534,72352.951752,0.000000,182.028000,12,0.021428
4,74515.812506,2169.290000,4237,3450,227,560,0,613,1514,72346.522506,0.000000,148.950000,9,0.046305
5,74492.682215,2136.190000,4237,3401,354,482,0,514,1572,72356.492215,0.000000,151.168000,12,0.029999
6,74338.485181,1988.670000,4237,3458,290,489,0,597,1353,72349.815181,0.000000,174.215000,11,0.009198
7,74470.254412,2115.090000,4237,3428,207,602,0,282,1795,72355.164412,0.000000,143.348000,10,0.000000
8,74566.718944,2208.040000,4237,3463,269,505,0,516,1647,72358.678943,0.000000,172.397000,11,0.000000
9,74412.498262,2059.960000,4237,3309,443,485,0,414,1600,72352.538262,0.000000,110.853000,9,0.019546
10,74456.500461,2110.860000,4237,3460,159,618,0,227,1849,72345.640461,0.000000,148.458000,9,0.038152
