"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74686.336391,2329.850000,4237,3470,315,452,0,380,1904,72356.486391,0.000000,196.606000,12,0.008903
2,74318.894482,1974.380000,4237,3418,144,675,0,364,1571,72344.514482,0.000000,138.432000,9,0.007944
3,74485.278077,2130.430000,4237,3411,159,667,0,463,1624,72354.848077,0.000000,190.161000,11,0.009930
4,74465.109396,2110.620000,4237,3506,194,537,0,397,1672,72354.489396,0.000000,231.809000,13,0.020383
5,74681.167589,2321.020000,4237,3406,429,402,0,667,1610,72360.147589,0.000000,164.231000,11,0.037420
6,74695.539200,2334.480000,4237,3378,234,625,0,801,1498,72361.059200,0.000000,155.102000,11,0.062678
7,74543.069384,2175.870000,4237,3451,276,510,0,337,1790,72367.199384,0.000000,168.042000,10,0.019860
8,74696.112816,2331.060000,4237,3366,251,620,0,383,1901,72365.052816,0.000000,166.354000,10,0.032089
9,74734.167363,2376.030000,4237,3478,220,539,0,706,1629,72358.137363,0.000000,198.522000,12,0.025609
10,74524.672921,2172.870000,4237,3449,179,609,0,775,1357,72351.802921,0.000000,146.251000,11,0.009930
