"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.004000,0,40,yes,0.000000,71.830000,0.000000,0.000000,104.000000,,0.000000,1.030000,0.824000,0.000000,2.000000,,0.000000,30.180000,30.180000,0.000000,38.000000,,1.000000
27,SAND,142.317000,474.390000,179.856000,0,354,yes,0.000000,289.190000,0.000000,0.000000,548.000000,,0.000000,26.720000,21.376000,0.000000,69.000000,,0.000000,158.480000,158.480000,0.000000,285.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,48.942000,0,185,no,0.000000,160.830000,0.000000,0.000000,492.000000,,0.000000,22.140000,17.712000,0.000000,73.000000,,0.000000,31.230000,31.230000,0.000000,112.000000,,0.761625
25,REEF,328.281000,1094.270000,328.334000,0,560,yes,0.000000,744.670000,0.000000,0.000000,1215.000000,,0.000000,106.330000,85.064000,0.000000,158.000000,,0.000000,243.270000,243.270000,0.000000,402.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.088000,0,72,yes,0.000000,111.580000,0.000000,0.000000,141.000000,,0.000000,12.960000,10.368000,0.000000,18.000000,,0.000000,38.720000,38.720000,0.000000,54.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.280000,0,24,yes,0.000000,30.870000,0.000000,0.000000,51.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,13.280000,13.280000,0.000000,24.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,72.670000,0,148,yes,0.000000,167.040000,0.000000,0.000000,291.000000,,0.000000,4.850000,3.880000,0.000000,15.000000,,0.000000,68.790000,68.790000,0.000000,133.000000,,1.000000
21,ISLNDISLET,0.792000,2.640000,0.972000,0,16,yes,0.000000,1.500000,0.000000,0.000000,32.000000,,0.000000,0.840000,0.672000,0.000000,7.000000,,0.000000,0.300000,0.300000,0.000000,9.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,22.232000,0,111,no,0.000000,70.930000,0.000000,0.000000,308.000000,,0.000000,4.340000,3.472000,0.000000,25.000000,,0.000000,18.760000,18.760000,0.000000,86.000000,,0.788117
19,CORAL3,93.045000,310.150000,81.404000,0,130,no,0.000000,221.090000,0.000000,0.000000,319.000000,,0.000000,38.280000,30.624000,0.000000,57.000000,,0.000000,50.780000,50.780000,0.000000,73.000000,,0.874888
18,CORAL2,26.310000,87.700000,20.426000,0,46,no,0.000000,65.170000,0.000000,0.000000,101.000000,,0.000000,10.520000,8.416000,0.000000,20.000000,,0.000000,12.010000,12.010000,0.000000,26.000000,,0.776359
17,CORAL1,74.082000,246.940000,74.172000,0,106,yes,0.000000,171.700000,0.000000,0.000000,275.000000,,0.000000,5.340000,4.272000,0.000000,7.000000,,0.000000,69.900000,69.900000,0.000000,99.000000,,1.000000
16,RSF,0.144000,0.480000,0.146000,0,3,yes,0.000000,0.320000,0.000000,0.000000,6.000000,,0.000000,0.070000,0.056000,0.000000,2.000000,,0.000000,0.090000,0.090000,0.000000,1.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.470000,0,3,yes,0.000000,0.800000,0.000000,0.000000,15.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.470000,0.470000,0.000000,3.000000,,1.000000
14,PUD,4.746000,15.820000,6.168000,0,47,yes,0.000000,9.110000,0.000000,0.000000,113.000000,,0.000000,2.710000,2.168000,0.000000,14.000000,,0.000000,4.000000,4.000000,0.000000,33.000000,,1.000000
13,BEACH,4.476000,14.920000,4.476000,0,37,no,0.000000,10.180000,0.000000,0.000000,114.000000,,0.000000,1.320000,1.056000,0.000000,6.000000,,0.000000,3.420000,3.420000,0.000000,31.000000,,1.000000
12,APUF,0.294000,0.980000,0.350000,0,8,yes,0.000000,0.630000,0.000000,0.000000,14.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.350000,0.350000,0.000000,8.000000,,1.000000
11,ABAS,0.156000,0.520000,0.280000,0,3,yes,0.000000,0.240000,0.000000,0.000000,6.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.280000,0.280000,0.000000,3.000000,,1.000000
10,DEEP,11.931000,39.770000,12.210000,0,16,yes,0.000000,27.560000,0.000000,0.000000,48.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,12.210000,12.210000,0.000000,16.000000,,1.000000
9,MEDIUM,261.228000,870.760000,212.066000,0,355,no,0.000000,648.990000,0.000000,0.000000,1077.000000,,0.000000,48.520000,38.816000,0.000000,78.000000,,0.000000,173.250000,173.250000,0.000000,277.000000,,0.811804
8,SHALLOW,419.085000,1396.950000,438.258000,0,601,yes,0.000000,933.480000,0.000000,0.000000,1299.000000,,0.000000,126.060000,100.848000,0.000000,163.000000,,0.000000,337.410000,337.410000,0.000000,438.000000,,1.000000
7,INVERT,161.826000,539.420000,161.892000,0,196,yes,0.000000,370.280000,0.000000,0.000000,463.000000,,0.000000,36.240000,28.992000,0.000000,41.000000,,0.000000,132.900000,132.900000,0.000000,155.000000,,1.000000
6,FISH3,9.270000,30.900000,10.430000,0,21,yes,0.000000,20.470000,0.000000,0.000000,35.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,10.430000,10.430000,0.000000,21.000000,,1.000000
5,FISH2,5.616000,18.720000,0.000000,0,0,no,0.000000,18.720000,0.000000,0.000000,32.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000
4,FISH1,16.698000,55.660000,16.918000,0,24,yes,0.000000,38.180000,0.000000,0.000000,58.000000,,0.000000,2.810000,2.248000,0.000000,3.000000,,0.000000,14.670000,14.670000,0.000000,21.000000,,1.000000
