"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.934000,0,35,yes,0.000000,71.120000,0.000000,0.000000,109.000000,,0.000000,4.930000,3.944000,0.000000,5.000000,,0.000000,26.990000,26.990000,0.000000,30.000000,,1.000000
27,SAND,142.317000,474.390000,139.544000,0,288,no,0.000000,328.860000,0.000000,0.000000,614.000000,,0.000000,29.930000,23.944000,0.000000,65.000000,,0.000000,115.600000,115.600000,0.000000,223.000000,,0.980515
26,REEFAWASH,64.260000,214.200000,47.170000,0,183,no,0.000000,166.030000,0.000000,0.000000,494.000000,,0.000000,5.000000,4.000000,0.000000,25.000000,,0.000000,43.170000,43.170000,0.000000,158.000000,,0.734049
25,REEF,328.281000,1094.270000,328.430000,0,520,yes,0.000000,757.310000,0.000000,0.000000,1255.000000,,0.000000,42.650000,34.120000,0.000000,74.000000,,0.000000,294.310000,294.310000,0.000000,446.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.214000,0,67,yes,0.000000,109.040000,0.000000,0.000000,146.000000,,0.000000,25.030000,20.024000,0.000000,31.000000,,0.000000,29.190000,29.190000,0.000000,36.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.490000,0,18,yes,0.000000,30.660000,0.000000,0.000000,57.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,13.490000,13.490000,0.000000,18.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,52.278000,0,123,no,0.000000,185.790000,0.000000,0.000000,316.000000,,0.000000,13.060000,10.448000,0.000000,28.000000,,0.000000,41.830000,41.830000,0.000000,95.000000,,0.724032
21,ISLNDISLET,0.792000,2.640000,0.798000,0,16,yes,0.000000,1.830000,0.000000,0.000000,32.000000,,0.000000,0.060000,0.048000,0.000000,2.000000,,0.000000,0.750000,0.750000,0.000000,14.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,25.626000,0,110,no,0.000000,67.610000,0.000000,0.000000,309.000000,,0.000000,3.970000,3.176000,0.000000,18.000000,,0.000000,22.450000,22.450000,0.000000,92.000000,,0.908433
19,CORAL3,93.045000,310.150000,69.592000,0,112,no,0.000000,236.170000,0.000000,0.000000,337.000000,,0.000000,21.940000,17.552000,0.000000,29.000000,,0.000000,52.040000,52.040000,0.000000,83.000000,,0.747939
18,CORAL2,26.310000,87.700000,18.452000,0,37,no,0.000000,69.020000,0.000000,0.000000,110.000000,,0.000000,1.140000,0.912000,0.000000,3.000000,,0.000000,17.540000,17.540000,0.000000,34.000000,,0.701330
