"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.900000,0,40,yes,0.000000,69.610000,0.000000,0.000000,104.000000,,0.000000,7.650000,6.120000,0.000000,8.000000,,0.000000,25.780000,25.780000,0.000000,32.000000,,1.000000
27,SAND,142.317000,474.390000,168.194000,0,329,yes,0.000000,301.310000,0.000000,0.000000,573.000000,,0.000000,24.430000,19.544000,0.000000,52.000000,,0.000000,148.650000,148.650000,0.000000,277.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,47.690000,0,188,no,0.000000,164.270000,0.000000,0.000000,489.000000,,0.000000,11.200000,8.960000,0.000000,39.000000,,0.000000,38.730000,38.730000,0.000000,149.000000,,0.742141
25,REEF,328.281000,1094.270000,332.668000,0,549,yes,0.000000,749.190000,0.000000,0.000000,1226.000000,,0.000000,62.060000,49.648000,0.000000,95.000000,,0.000000,283.020000,283.020000,0.000000,454.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.124000,0,70,yes,0.000000,111.480000,0.000000,0.000000,143.000000,,0.000000,13.280000,10.624000,0.000000,19.000000,,0.000000,38.500000,38.500000,0.000000,51.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.442000,0,24,yes,0.000000,30.000000,0.000000,0.000000,51.000000,,0.000000,3.540000,2.832000,0.000000,7.000000,,0.000000,10.610000,10.610000,0.000000,17.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,70.246000,0,147,no,0.000000,168.230000,0.000000,0.000000,292.000000,,0.000000,11.020000,8.816000,0.000000,26.000000,,0.000000,61.430000,61.430000,0.000000,121.000000,,0.972882
21,ISLNDISLET,0.792000,2.640000,1.286000,0,16,yes,0.000000,1.350000,0.000000,0.000000,32.000000,,0.000000,0.020000,0.016000,0.000000,2.000000,,0.000000,1.270000,1.270000,0.000000,14.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,26.090000,0,110,no,0.000000,66.050000,0.000000,0.000000,309.000000,,0.000000,9.450000,7.560000,0.000000,33.000000,,0.000000,18.530000,18.530000,0.000000,77.000000,,0.924882
19,CORAL3,93.045000,310.150000,70.092000,0,114,no,0.000000,236.270000,0.000000,0.000000,335.000000,,0.000000,18.940000,15.152000,0.000000,33.000000,,0.000000,54.940000,54.940000,0.000000,81.000000,,0.753313
18,CORAL2,26.310000,87.700000,20.838000,0,43,no,0.000000,66.230000,0.000000,0.000000,104.000000,,0.000000,3.160000,2.528000,0.000000,6.000000,,0.000000,18.310000,18.310000,0.000000,37.000000,,0.792018
17,CORAL1,74.082000,246.940000,74.432000,0,108,yes,0.000000,167.480000,0.000000,0.000000,273.000000,,0.000000,25.140000,20.112000,0.000000,30.000000,,0.000000,54.320000,54.320000,0.000000,78.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,no,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.530000,0,4,yes,0.000000,0.740000,0.000000,0.000000,14.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.530000,0.530000,0.000000,4.000000,,1.000000
14,PUD,4.746000,15.820000,6.116000,0,52,yes,0.000000,9.440000,0.000000,0.000000,108.000000,,0.000000,1.320000,1.056000,0.000000,13.000000,,0.000000,5.060000,5.060000,0.000000,39.000000,,1.000000
13,BEACH,4.476000,14.920000,4.476000,0,40,no,0.000000,10.160000,0.000000,0.000000,111.000000,,0.000000,1.420000,1.136000,0.000000,7.000000,,0.000000,3.340000,3.340000,0.000000,33.000000,,1.000000
12,APUF,0.294000,0.980000,0.450000,0,8,yes,0.000000,0.530000,0.000000,0.000000,14.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.450000,0.450000,0.000000,8.000000,,1.000000
11,ABAS,0.156000,0.520000,0.250000,0,3,yes,0.000000,0.270000,0.000000,0.000000,6.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.250000,0.250000,0.000000,3.000000,,1.000000
10,DEEP,11.931000,39.770000,12.040000,0,18,yes,0.000000,27.130000,0.000000,0.000000,46.000000,,0.000000,3.000000,2.400000,0.000000,3.000000,,0.000000,9.640000,9.640000,0.000000,15.000000,,1.000000
9,MEDIUM,261.228000,870.760000,222.996000,0,360,no,0.000000,638.940000,0.000000,0.000000,1072.000000,,0.000000,44.120000,35.296000,0.000000,70.000000,,0.000000,187.700000,187.700000,0.000000,290.000000,,0.853645
8,SHALLOW,419.085000,1396.950000,440.882000,0,598,yes,0.000000,942.650000,0.000000,0.000000,1302.000000,,0.000000,67.090000,53.672000,0.000000,96.000000,,0.000000,387.210000,387.210000,0.000000,502.000000,,1.000000
7,INVERT,161.826000,539.420000,161.866000,0,204,yes,0.000000,361.090000,0.000000,0.000000,455.000000,,0.000000,82.320000,65.856000,0.000000,91.000000,,0.000000,96.010000,96.010000,0.000000,113.000000,,1.000000
6,FISH3,9.270000,30.900000,11.100000,0,21,yes,0.000000,19.800000,0.000000,0.000000,35.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,11.100000,11.100000,0.000000,21.000000,,1.000000
5,FISH2,5.616000,18.720000,0.940000,0,3,no,0.000000,17.780000,0.000000,0.000000,29.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.940000,0.940000,0.000000,3.000000,,0.167379
4,FISH1,16.698000,55.660000,16.854000,0,24,yes,0.000000,38.260000,0.000000,0.000000,58.000000,,0.000000,2.730000,2.184000,0.000000,5.000000,,0.000000,14.670000,14.670000,0.000000,19.000000,,1.000000
3,SEAGRASS2,12.810000,42.700000,13.090000,0,19,yes,0.000000,29.610000,0.000000,0.000000,44.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,13.090000,13.090000,0.000000,19.000000,,1.000000
2,SEAGRASS1,19.134000,63.780000,0.340000,0,4,no,0.000000,63.440000,0.000000,0.000000,113.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.340000,0.340000,0.000000,4.000000,,0.017769
1,SEAGRASS,51.012000,170.040000,45.240000,0,69,no,0.000000,124.570000,0.000000,0.000000,193.000000,,0.000000,1.150000,0.920000,0.000000,3.000000,,0.000000,44.320000,44.320000,0.000000,66.000000,,0.886850
