"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.016000,0,40,yes,0.000000,70.030000,0.000000,0.000000,104.000000,,0.000000,9.970000,7.976000,0.000000,11.000000,,0.000000,23.040000,23.040000,0.000000,29.000000,,1.000000
27,SAND,142.317000,474.390000,138.740000,0,300,no,0.000000,329.360000,0.000000,0.000000,602.000000,,0.000000,31.450000,25.160000,0.000000,59.000000,,0.000000,113.580000,113.580000,0.000000,241.000000,,0.974866
26,REEFAWASH,64.260000,214.200000,54.860000,0,194,no,0.000000,158.300000,0.000000,0.000000,483.000000,,0.000000,5.200000,4.160000,0.000000,19.000000,,0.000000,50.700000,50.700000,0.000000,175.000000,,0.853719
25,REEF,328.281000,1094.270000,328.774000,0,537,yes,0.000000,752.160000,0.000000,0.000000,1238.000000,,0.000000,66.680000,53.344000,0.000000,101.000000,,0.000000,275.430000,275.430000,0.000000,436.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.654000,0,75,yes,0.000000,109.170000,0.000000,0.000000,138.000000,,0.000000,22.180000,17.744000,0.000000,33.000000,,0.000000,31.910000,31.910000,0.000000,42.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.308000,0,22,yes,0.000000,30.590000,0.000000,0.000000,53.000000,,0.000000,1.260000,1.008000,0.000000,3.000000,,0.000000,12.300000,12.300000,0.000000,19.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,65.954000,0,144,no,0.000000,174.600000,0.000000,0.000000,295.000000,,0.000000,0.630000,0.504000,0.000000,8.000000,,0.000000,65.450000,65.450000,0.000000,136.000000,,0.913440
21,ISLNDISLET,0.792000,2.640000,0.880000,0,14,yes,0.000000,1.590000,0.000000,0.000000,34.000000,,0.000000,0.850000,0.680000,0.000000,5.000000,,0.000000,0.200000,0.200000,0.000000,9.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,23.538000,0,102,no,0.000000,69.750000,0.000000,0.000000,317.000000,,0.000000,3.710000,2.968000,0.000000,19.000000,,0.000000,20.570000,20.570000,0.000000,83.000000,,0.834415
19,CORAL3,93.045000,310.150000,74.442000,0,124,no,0.000000,228.580000,0.000000,0.000000,325.000000,,0.000000,35.640000,28.512000,0.000000,46.000000,,0.000000,45.930000,45.930000,0.000000,78.000000,,0.800064
18,CORAL2,26.310000,87.700000,20.088000,0,37,no,0.000000,66.430000,0.000000,0.000000,110.000000,,0.000000,5.910000,4.728000,0.000000,10.000000,,0.000000,15.360000,15.360000,0.000000,27.000000,,0.763512
17,CORAL1,74.082000,246.940000,74.518000,0,102,yes,0.000000,170.540000,0.000000,0.000000,279.000000,,0.000000,9.410000,7.528000,0.000000,11.000000,,0.000000,66.990000,66.990000,0.000000,91.000000,,1.000000
