"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.058000,0,40,yes,0.000000,69.630000,0.000000,0.000000,104.000000,,0.000000,11.760000,9.408000,0.000000,12.000000,,0.000000,21.650000,21.650000,0.000000,28.000000,,1.000000
27,SAND,142.317000,474.390000,151.768000,0,335,yes,0.000000,307.110000,0.000000,0.000000,567.000000,,0.000000,77.560000,62.048000,0.000000,152.000000,,0.000000,89.720000,89.720000,0.000000,183.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,51.480000,0,199,no,0.000000,157.530000,0.000000,0.000000,478.000000,,0.000000,25.950000,20.760000,0.000000,93.000000,,0.000000,30.720000,30.720000,0.000000,106.000000,,0.801120
25,REEF,328.281000,1094.270000,328.550000,0,577,yes,0.000000,731.100000,0.000000,0.000000,1198.000000,,0.000000,173.100000,138.480000,0.000000,268.000000,,0.000000,190.070000,190.070000,0.000000,309.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.078000,0,74,yes,0.000000,108.220000,0.000000,0.000000,139.000000,,0.000000,29.810000,23.848000,0.000000,40.000000,,0.000000,25.230000,25.230000,0.000000,34.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.668000,0,22,yes,0.000000,28.730000,0.000000,0.000000,53.000000,,0.000000,8.760000,7.008000,0.000000,10.000000,,0.000000,6.660000,6.660000,0.000000,12.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,56.414000,0,136,no,0.000000,179.900000,0.000000,0.000000,303.000000,,0.000000,21.830000,17.464000,0.000000,50.000000,,0.000000,38.950000,38.950000,0.000000,86.000000,,0.781314
21,ISLNDISLET,0.792000,2.640000,1.214000,0,19,yes,0.000000,1.170000,0.000000,0.000000,29.000000,,0.000000,1.280000,1.024000,0.000000,16.000000,,0.000000,0.190000,0.190000,0.000000,3.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,24.852000,0,119,no,0.000000,66.600000,0.000000,0.000000,300.000000,,0.000000,12.890000,10.312000,0.000000,65.000000,,0.000000,14.540000,14.540000,0.000000,54.000000,,0.880995
19,CORAL3,93.045000,310.150000,81.518000,0,144,no,0.000000,210.450000,0.000000,0.000000,305.000000,,0.000000,90.910000,72.728000,0.000000,130.000000,,0.000000,8.790000,8.790000,0.000000,14.000000,,0.876114
18,CORAL2,26.310000,87.700000,25.808000,0,48,no,0.000000,59.620000,0.000000,0.000000,99.000000,,0.000000,11.360000,9.088000,0.000000,21.000000,,0.000000,16.720000,16.720000,0.000000,27.000000,,0.980920
17,CORAL1,74.082000,246.940000,74.486000,0,109,yes,0.000000,168.010000,0.000000,0.000000,272.000000,,0.000000,22.220000,17.776000,0.000000,28.000000,,0.000000,56.710000,56.710000,0.000000,81.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,no,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.434000,0,3,yes,0.000000,0.800000,0.000000,0.000000,15.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.290000,0.290000,0.000000,2.000000,,1.000000
14,PUD,4.746000,15.820000,6.212000,0,56,yes,0.000000,8.450000,0.000000,0.000000,104.000000,,0.000000,5.790000,4.632000,0.000000,40.000000,,0.000000,1.580000,1.580000,0.000000,16.000000,,1.000000
13,BEACH,4.476000,14.920000,4.498000,0,38,yes,0.000000,10.000000,0.000000,0.000000,113.000000,,0.000000,2.110000,1.688000,0.000000,16.000000,,0.000000,2.810000,2.810000,0.000000,22.000000,,1.000000
12,APUF,0.294000,0.980000,0.370000,0,9,yes,0.000000,0.520000,0.000000,0.000000,13.000000,,0.000000,0.450000,0.360000,0.000000,8.000000,,0.000000,0.010000,0.010000,0.000000,1.000000,,1.000000
11,ABAS,0.156000,0.520000,0.250000,0,3,yes,0.000000,0.270000,0.000000,0.000000,6.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.250000,0.250000,0.000000,3.000000,,1.000000
10,DEEP,11.931000,39.770000,12.178000,0,17,yes,0.000000,25.450000,0.000000,0.000000,47.000000,,0.000000,10.710000,8.568000,0.000000,13.000000,,0.000000,3.610000,3.610000,0.000000,4.000000,,1.000000
9,MEDIUM,261.228000,870.760000,204.190000,0,353,no,0.000000,649.390000,0.000000,0.000000,1079.000000,,0.000000,85.900000,68.720000,0.000000,142.000000,,0.000000,135.470000,135.470000,0.000000,211.000000,,0.781654
