"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.916000,0,46,yes,0.000000,68.800000,0.000000,0.000000,98.000000,,0.000000,16.620000,13.296000,0.000000,21.000000,,0.000000,17.620000,17.620000,0.000000,25.000000,,1.000000
27,SAND,142.317000,474.390000,147.584000,0,314,yes,0.000000,316.820000,0.000000,0.000000,588.000000,,0.000000,49.930000,39.944000,0.000000,111.000000,,0.000000,107.640000,107.640000,0.000000,203.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,51.334000,0,186,no,0.000000,160.340000,0.000000,0.000000,491.000000,,0.000000,12.630000,10.104000,0.000000,45.000000,,0.000000,41.230000,41.230000,0.000000,141.000000,,0.798848
25,REEF,328.281000,1094.270000,328.630000,0,560,yes,0.000000,739.540000,0.000000,0.000000,1215.000000,,0.000000,130.500000,104.400000,0.000000,193.000000,,0.000000,224.230000,224.230000,0.000000,367.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.464000,0,67,yes,0.000000,113.290000,0.000000,0.000000,146.000000,,0.000000,2.530000,2.024000,0.000000,6.000000,,0.000000,47.440000,47.440000,0.000000,61.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.558000,0,27,yes,0.000000,29.450000,0.000000,0.000000,48.000000,,0.000000,5.710000,4.568000,0.000000,13.000000,,0.000000,8.990000,8.990000,0.000000,14.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,67.726000,0,140,no,0.000000,172.670000,0.000000,0.000000,299.000000,,0.000000,1.420000,1.136000,0.000000,6.000000,,0.000000,66.590000,66.590000,0.000000,134.000000,,0.937981
21,ISLNDISLET,0.792000,2.640000,1.062000,0,18,yes,0.000000,1.400000,0.000000,0.000000,30.000000,,0.000000,0.890000,0.712000,0.000000,7.000000,,0.000000,0.350000,0.350000,0.000000,11.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,26.196000,0,117,no,0.000000,66.820000,0.000000,0.000000,302.000000,,0.000000,5.070000,4.056000,0.000000,26.000000,,0.000000,22.140000,22.140000,0.000000,91.000000,,0.928640
19,CORAL3,93.045000,310.150000,80.864000,0,138,no,0.000000,216.890000,0.000000,0.000000,311.000000,,0.000000,61.980000,49.584000,0.000000,86.000000,,0.000000,31.280000,31.280000,0.000000,52.000000,,0.869085
18,CORAL2,26.310000,87.700000,19.538000,0,40,no,0.000000,67.830000,0.000000,0.000000,107.000000,,0.000000,1.660000,1.328000,0.000000,5.000000,,0.000000,18.210000,18.210000,0.000000,35.000000,,0.742607
17,CORAL1,74.082000,246.940000,74.404000,0,108,yes,0.000000,170.690000,0.000000,0.000000,273.000000,,0.000000,9.230000,7.384000,0.000000,14.000000,,0.000000,67.020000,67.020000,0.000000,94.000000,,1.000000
16,RSF,0.144000,0.480000,0.146000,0,3,yes,0.000000,0.320000,0.000000,0.000000,6.000000,,0.000000,0.070000,0.056000,0.000000,2.000000,,0.000000,0.090000,0.090000,0.000000,1.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.604000,0,5,yes,0.000000,0.600000,0.000000,0.000000,13.000000,,0.000000,0.330000,0.264000,0.000000,2.000000,,0.000000,0.340000,0.340000,0.000000,3.000000,,1.000000
