"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74524.066639,2160.410000,4237,3472,225,540,0,321,1795,72363.656639,0.000000,194.623000,13,0.039720
2,74463.019148,2116.190000,4237,3463,108,666,0,763,1305,72346.829148,0.000000,137.237000,11,0.011498
3,74366.291557,2013.680000,4237,3388,266,583,0,286,1685,72352.611557,0.000000,130.298000,9,0.019128
4,74588.347251,2228.190000,4237,3435,217,585,0,327,1859,72360.157251,0.000000,133.673000,10,0.007944
5,74351.035211,2000.790000,4237,3462,145,630,0,349,1608,72350.245211,0.000000,161.673000,10,0.011498
6,74405.475084,2040.540000,4237,3446,247,544,0,524,1475,72364.935084,0.000000,147.379000,11,0.022682
7,74614.030881,2251.640000,4237,3455,291,491,0,361,1848,72362.390881,0.000000,211.012000,11,0.064103
8,74342.052658,1992.750000,4237,3434,175,628,0,575,1374,72349.302658,0.000000,136.294000,10,0.012543
9,74501.190736,2150.330000,4237,3416,135,686,0,371,1741,72350.860736,0.000000,127.748000,11,0.000000
10,74446.471924,2089.100000,4237,3435,326,476,0,473,1570,72357.371924,0.000000,223.558000,12,-0.000000
