"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.930000,0,40,yes,0.000000,69.230000,0.000000,0.000000,104.000000,,0.000000,14.400000,11.520000,0.000000,16.000000,,0.000000,19.410000,19.410000,0.000000,24.000000,,1.000000
27,SAND,142.317000,474.390000,152.398000,0,303,yes,0.000000,317.520000,0.000000,0.000000,599.000000,,0.000000,22.360000,17.888000,0.000000,58.000000,,0.000000,134.510000,134.510000,0.000000,245.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,42.978000,0,175,no,0.000000,168.560000,0.000000,0.000000,502.000000,,0.000000,13.310000,10.648000,0.000000,40.000000,,0.000000,32.330000,32.330000,0.000000,135.000000,,0.668814
25,REEF,328.281000,1094.270000,328.800000,0,539,yes,0.000000,749.530000,0.000000,0.000000,1236.000000,,0.000000,79.700000,63.760000,0.000000,127.000000,,0.000000,265.040000,265.040000,0.000000,412.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,50.008000,0,63,yes,0.000000,112.910000,0.000000,0.000000,150.000000,,0.000000,1.710000,1.368000,0.000000,4.000000,,0.000000,48.640000,48.640000,0.000000,59.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.742000,0,23,yes,0.000000,29.210000,0.000000,0.000000,52.000000,,0.000000,5.990000,4.792000,0.000000,9.000000,,0.000000,8.950000,8.950000,0.000000,14.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,45.516000,0,109,no,0.000000,191.600000,0.000000,0.000000,330.000000,,0.000000,17.820000,14.256000,0.000000,39.000000,,0.000000,31.260000,31.260000,0.000000,70.000000,,0.630381
21,ISLNDISLET,0.792000,2.640000,1.362000,0,17,yes,0.000000,1.240000,0.000000,0.000000,31.000000,,0.000000,0.190000,0.152000,0.000000,5.000000,,0.000000,1.210000,1.210000,0.000000,12.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,21.836000,0,100,no,0.000000,70.930000,0.000000,0.000000,319.000000,,0.000000,6.320000,5.056000,0.000000,27.000000,,0.000000,16.780000,16.780000,0.000000,73.000000,,0.774079
19,CORAL3,93.045000,310.150000,77.480000,0,124,no,0.000000,227.880000,0.000000,0.000000,325.000000,,0.000000,23.950000,19.160000,0.000000,40.000000,,0.000000,58.320000,58.320000,0.000000,84.000000,,0.832715
18,CORAL2,26.310000,87.700000,11.822000,0,24,no,0.000000,75.250000,0.000000,0.000000,123.000000,,0.000000,3.140000,2.512000,0.000000,7.000000,,0.000000,9.310000,9.310000,0.000000,17.000000,,0.449335
17,CORAL1,74.082000,246.940000,74.420000,0,109,yes,0.000000,167.710000,0.000000,0.000000,272.000000,,0.000000,24.050000,19.240000,0.000000,31.000000,,0.000000,55.180000,55.180000,0.000000,78.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,yes,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.316000,0,2,no,0.000000,0.920000,0.000000,0.000000,16.000000,,0.000000,0.170000,0.136000,0.000000,1.000000,,0.000000,0.180000,0.180000,0.000000,1.000000,,0.829396
14,PUD,4.746000,15.820000,5.364000,0,45,yes,0.000000,9.770000,0.000000,0.000000,115.000000,,0.000000,3.430000,2.744000,0.000000,21.000000,,0.000000,2.620000,2.620000,0.000000,24.000000,,1.000000
13,BEACH,4.476000,14.920000,4.476000,0,38,no,0.000000,10.110000,0.000000,0.000000,113.000000,,0.000000,1.670000,1.336000,0.000000,10.000000,,0.000000,3.140000,3.140000,0.000000,28.000000,,1.000000
12,APUF,0.294000,0.980000,0.280000,0,6,no,0.000000,0.700000,0.000000,0.000000,16.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.280000,0.280000,0.000000,6.000000,,0.952381
11,ABAS,0.156000,0.520000,0.300000,0,4,yes,0.000000,0.220000,0.000000,0.000000,5.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.300000,0.300000,0.000000,4.000000,,1.000000
10,DEEP,11.931000,39.770000,12.234000,0,17,yes,0.000000,27.440000,0.000000,0.000000,47.000000,,0.000000,0.480000,0.384000,0.000000,1.000000,,0.000000,11.850000,11.850000,0.000000,16.000000,,1.000000
9,MEDIUM,261.228000,870.760000,201.926000,0,342,no,0.000000,656.140000,0.000000,0.000000,1090.000000,,0.000000,63.470000,50.776000,0.000000,96.000000,,0.000000,151.150000,151.150000,0.000000,246.000000,,0.772988
