"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74949.947855,2578.590000,4237,3395,347,495,0,624,1907,72371.357855,0.000000,181.646000,11,0.018710
2,74478.649608,2127.920000,4237,3274,119,844,0,467,1622,72350.729608,0.000000,51.752000,8,0.142450
3,74623.748014,2264.970000,4237,3452,157,628,0,506,1710,72358.778013,0.000000,166.267000,12,0.055399
4,74469.339360,2117.830000,4237,3467,247,523,0,291,1785,72351.509360,0.000000,174.544000,10,-0.000000
5,74504.061015,2151.430000,4237,3468,225,544,0,436,1672,72352.631014,0.000000,201.049000,13,0.000000
6,74432.597501,2075.280000,4237,3467,261,509,0,525,1504,72357.317500,0.000000,170.869000,11,0.000000
7,74527.733226,2175.950000,4237,3514,256,467,0,222,1909,72351.783226,0.000000,233.886000,12,-0.000000
8,74800.691957,2433.130000,4237,3400,496,341,0,513,1869,72367.561957,0.000000,153.139000,11,0.215456
9,74690.782077,2318.480000,4237,3354,352,531,0,459,1812,72372.302077,0.000000,170.774000,11,0.142806
10,74234.305409,1884.190000,4237,3487,154,596,0,351,1492,72350.115409,0.000000,173.447000,14,0.036375
