"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.922000,0,42,yes,0.000000,69.730000,0.000000,0.000000,102.000000,,0.000000,11.940000,9.552000,0.000000,14.000000,,0.000000,21.370000,21.370000,0.000000,28.000000,,1.000000
27,SAND,142.317000,474.390000,159.124000,0,333,yes,0.000000,301.890000,0.000000,0.000000,569.000000,,0.000000,66.880000,53.504000,0.000000,108.000000,,0.000000,105.620000,105.620000,0.000000,225.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,55.164000,0,193,no,0.000000,157.080000,0.000000,0.000000,484.000000,,0.000000,9.780000,7.824000,0.000000,37.000000,,0.000000,47.340000,47.340000,0.000000,156.000000,,0.858450
25,REEF,328.281000,1094.270000,328.624000,0,568,yes,0.000000,742.070000,0.000000,0.000000,1207.000000,,0.000000,117.880000,94.304000,0.000000,170.000000,,0.000000,234.320000,234.320000,0.000000,398.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.064000,0,68,yes,0.000000,113.400000,0.000000,0.000000,145.000000,,0.000000,3.980000,3.184000,0.000000,7.000000,,0.000000,45.880000,45.880000,0.000000,61.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.278000,0,26,yes,0.000000,29.860000,0.000000,0.000000,49.000000,,0.000000,5.060000,4.048000,0.000000,9.000000,,0.000000,9.230000,9.230000,0.000000,17.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,65.604000,0,145,no,0.000000,173.180000,0.000000,0.000000,294.000000,,0.000000,9.480000,7.584000,0.000000,25.000000,,0.000000,58.020000,58.020000,0.000000,120.000000,,0.908592
21,ISLNDISLET,0.792000,2.640000,1.216000,0,17,yes,0.000000,1.400000,0.000000,0.000000,31.000000,,0.000000,0.120000,0.096000,0.000000,2.000000,,0.000000,1.120000,1.120000,0.000000,15.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,24.316000,0,115,no,0.000000,68.350000,0.000000,0.000000,304.000000,,0.000000,6.820000,5.456000,0.000000,29.000000,,0.000000,18.860000,18.860000,0.000000,86.000000,,0.861994
19,CORAL3,93.045000,310.150000,99.084000,0,154,yes,0.000000,201.120000,0.000000,0.000000,295.000000,,0.000000,49.730000,39.784000,0.000000,65.000000,,0.000000,59.300000,59.300000,0.000000,89.000000,,1.000000
18,CORAL2,26.310000,87.700000,17.574000,0,38,no,0.000000,69.950000,0.000000,0.000000,109.000000,,0.000000,0.880000,0.704000,0.000000,3.000000,,0.000000,16.870000,16.870000,0.000000,35.000000,,0.667959
17,CORAL1,74.082000,246.940000,74.962000,0,108,yes,0.000000,165.990000,0.000000,0.000000,273.000000,,0.000000,29.940000,23.952000,0.000000,37.000000,,0.000000,51.010000,51.010000,0.000000,71.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,no,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.670000,0,5,yes,0.000000,0.600000,0.000000,0.000000,13.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.670000,0.670000,0.000000,5.000000,,1.000000
14,PUD,4.746000,15.820000,6.758000,0,53,yes,0.000000,8.760000,0.000000,0.000000,107.000000,,0.000000,1.510000,1.208000,0.000000,16.000000,,0.000000,5.550000,5.550000,0.000000,37.000000,,1.000000
13,BEACH,4.476000,14.920000,4.478000,0,36,yes,0.000000,10.250000,0.000000,0.000000,115.000000,,0.000000,0.960000,0.768000,0.000000,7.000000,,0.000000,3.710000,3.710000,0.000000,29.000000,,1.000000
12,APUF,0.294000,0.980000,0.382000,0,8,yes,0.000000,0.530000,0.000000,0.000000,14.000000,,0.000000,0.340000,0.272000,0.000000,6.000000,,0.000000,0.110000,0.110000,0.000000,2.000000,,1.000000
11,ABAS,0.156000,0.520000,0.180000,0,3,yes,0.000000,0.340000,0.000000,0.000000,6.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.180000,0.180000,0.000000,3.000000,,1.000000
10,DEEP,11.931000,39.770000,12.360000,0,17,yes,0.000000,27.410000,0.000000,0.000000,47.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,12.360000,12.360000,0.000000,17.000000,,1.000000
9,MEDIUM,261.228000,870.760000,225.664000,0,386,no,0.000000,630.240000,0.000000,0.000000,1046.000000,,0.000000,74.280000,59.424000,0.000000,113.000000,,0.000000,166.240000,166.240000,0.000000,273.000000,,0.863858
8,SHALLOW,419.085000,1396.950000,413.368000,0,588,no,0.000000,955.180000,0.000000,0.000000,1312.000000,,0.000000,142.010000,113.608000,0.000000,183.000000,,0.000000,299.760000,299.760000,0.000000,405.000000,,0.986358
7,INVERT,161.826000,539.420000,161.866000,0,200,yes,0.000000,369.660000,0.000000,0.000000,459.000000,,0.000000,39.470000,31.576000,0.000000,46.000000,,0.000000,130.290000,130.290000,0.000000,154.000000,,1.000000
6,FISH3,9.270000,30.900000,10.830000,0,21,yes,0.000000,19.650000,0.000000,0.000000,35.000000,,0.000000,2.100000,1.680000,0.000000,4.000000,,0.000000,9.150000,9.150000,0.000000,17.000000,,1.000000
5,FISH2,5.616000,18.720000,0.000000,0,0,no,0.000000,18.720000,0.000000,0.000000,32.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000
4,FISH1,16.698000,55.660000,16.978000,0,27,yes,0.000000,36.480000,0.000000,0.000000,55.000000,,0.000000,11.010000,8.808000,0.000000,15.000000,,0.000000,8.170000,8.170000,0.000000,12.000000,,1.000000
