"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.990000,0,36,yes,0.000000,71.850000,0.000000,0.000000,108.000000,,0.000000,1.000000,0.800000,0.000000,1.000000,,0.000000,30.190000,30.190000,0.000000,35.000000,,1.000000
27,SAND,142.317000,474.390000,150.744000,0,298,yes,0.000000,320.060000,0.000000,0.000000,604.000000,,0.000000,17.930000,14.344000,0.000000,48.000000,,0.000000,136.400000,136.400000,0.000000,250.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,48.552000,0,190,no,0.000000,162.210000,0.000000,0.000000,487.000000,,0.000000,17.190000,13.752000,0.000000,55.000000,,0.000000,34.800000,34.800000,0.000000,135.000000,,0.755556
25,REEF,328.281000,1094.270000,328.722000,0,539,yes,0.000000,747.460000,0.000000,0.000000,1236.000000,,0.000000,90.440000,72.352000,0.000000,125.000000,,0.000000,256.370000,256.370000,0.000000,414.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.674000,0,66,yes,0.000000,112.420000,0.000000,0.000000,147.000000,,0.000000,5.830000,4.664000,0.000000,10.000000,,0.000000,45.010000,45.010000,0.000000,56.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.954000,0,20,yes,0.000000,30.160000,0.000000,0.000000,55.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,13.810000,13.810000,0.000000,19.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,62.358000,0,128,no,0.000000,176.340000,0.000000,0.000000,311.000000,,0.000000,9.910000,7.928000,0.000000,28.000000,,0.000000,54.430000,54.430000,0.000000,100.000000,,0.863636
21,ISLNDISLET,0.792000,2.640000,0.796000,0,17,yes,0.000000,1.840000,0.000000,0.000000,31.000000,,0.000000,0.020000,0.016000,0.000000,2.000000,,0.000000,0.780000,0.780000,0.000000,15.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,23.324000,0,111,no,0.000000,69.030000,0.000000,0.000000,308.000000,,0.000000,8.380000,6.704000,0.000000,33.000000,,0.000000,16.620000,16.620000,0.000000,78.000000,,0.826828
19,CORAL3,93.045000,310.150000,78.186000,0,122,no,0.000000,229.940000,0.000000,0.000000,327.000000,,0.000000,10.120000,8.096000,0.000000,19.000000,,0.000000,70.090000,70.090000,0.000000,103.000000,,0.840303
18,CORAL2,26.310000,87.700000,19.778000,0,40,no,0.000000,67.130000,0.000000,0.000000,107.000000,,0.000000,3.960000,3.168000,0.000000,8.000000,,0.000000,16.610000,16.610000,0.000000,32.000000,,0.751729
17,CORAL1,74.082000,246.940000,74.564000,0,109,yes,0.000000,166.470000,0.000000,0.000000,272.000000,,0.000000,29.530000,23.624000,0.000000,38.000000,,0.000000,50.940000,50.940000,0.000000,71.000000,,1.000000
16,RSF,0.144000,0.480000,0.184000,0,2,yes,0.000000,0.260000,0.000000,0.000000,7.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.040000,0.040000,0.000000,1.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.630000,0,4,yes,0.000000,0.640000,0.000000,0.000000,14.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.630000,0.630000,0.000000,4.000000,,1.000000
14,PUD,4.746000,15.820000,6.330000,0,50,yes,0.000000,9.130000,0.000000,0.000000,110.000000,,0.000000,1.800000,1.440000,0.000000,13.000000,,0.000000,4.890000,4.890000,0.000000,37.000000,,1.000000
13,BEACH,4.476000,14.920000,4.476000,0,37,yes,0.000000,10.200000,0.000000,0.000000,114.000000,,0.000000,1.220000,0.976000,0.000000,10.000000,,0.000000,3.500000,3.500000,0.000000,27.000000,,1.000000
12,APUF,0.294000,0.980000,0.470000,0,9,yes,0.000000,0.510000,0.000000,0.000000,13.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.470000,0.470000,0.000000,9.000000,,1.000000
11,ABAS,0.156000,0.520000,0.230000,0,3,yes,0.000000,0.290000,0.000000,0.000000,6.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.230000,0.230000,0.000000,3.000000,,1.000000
10,DEEP,11.931000,39.770000,12.100000,0,17,yes,0.000000,27.560000,0.000000,0.000000,47.000000,,0.000000,0.550000,0.440000,0.000000,2.000000,,0.000000,11.660000,11.660000,0.000000,15.000000,,1.000000
9,MEDIUM,261.228000,870.760000,204.836000,0,339,no,0.000000,657.560000,0.000000,0.000000,1093.000000,,0.000000,41.820000,33.456000,0.000000,68.000000,,0.000000,171.380000,171.380000,0.000000,271.000000,,0.784127
8,SHALLOW,419.085000,1396.950000,420.958000,0,574,yes,0.000000,956.220000,0.000000,0.000000,1326.000000,,0.000000,98.860000,79.088000,0.000000,127.000000,,0.000000,341.870000,341.870000,0.000000,447.000000,,1.000000
7,INVERT,161.826000,539.420000,162.026000,0,198,yes,0.000000,367.790000,0.000000,0.000000,461.000000,,0.000000,48.020000,38.416000,0.000000,59.000000,,0.000000,123.610000,123.610000,0.000000,139.000000,,1.000000
6,FISH3,9.270000,30.900000,11.326000,0,19,yes,0.000000,19.540000,0.000000,0.000000,37.000000,,0.000000,0.170000,0.136000,0.000000,1.000000,,0.000000,11.190000,11.190000,0.000000,18.000000,,1.000000
5,FISH2,5.616000,18.720000,0.490000,0,2,no,0.000000,18.230000,0.000000,0.000000,30.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.490000,0.490000,0.000000,2.000000,,0.087251
4,FISH1,16.698000,55.660000,16.720000,0,29,yes,0.000000,36.410000,0.000000,0.000000,53.000000,,0.000000,12.650000,10.120000,0.000000,20.000000,,0.000000,6.600000,6.600000,0.000000,9.000000,,1.000000
