"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.030000,0,42,yes,0.000000,68.250000,0.000000,0.000000,102.000000,,0.000000,18.800000,15.040000,0.000000,20.000000,,0.000000,15.990000,15.990000,0.000000,22.000000,,1.000000
27,SAND,142.317000,474.390000,136.866000,0,304,no,0.000000,327.160000,0.000000,0.000000,598.000000,,0.000000,51.820000,41.456000,0.000000,105.000000,,0.000000,95.410000,95.410000,0.000000,199.000000,,0.961698
26,REEFAWASH,64.260000,214.200000,43.398000,0,169,no,0.000000,168.050000,0.000000,0.000000,508.000000,,0.000000,13.760000,11.008000,0.000000,41.000000,,0.000000,32.390000,32.390000,0.000000,128.000000,,0.675350
25,REEF,328.281000,1094.270000,328.874000,0,551,yes,0.000000,744.720000,0.000000,0.000000,1224.000000,,0.000000,103.380000,82.704000,0.000000,166.000000,,0.000000,246.170000,246.170000,0.000000,385.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.408000,0,68,yes,0.000000,110.000000,0.000000,0.000000,145.000000,,0.000000,19.260000,15.408000,0.000000,27.000000,,0.000000,34.000000,34.000000,0.000000,41.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.448000,0,20,yes,0.000000,29.590000,0.000000,0.000000,55.000000,,0.000000,5.560000,4.448000,0.000000,8.000000,,0.000000,9.000000,9.000000,0.000000,12.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,60.078000,0,131,no,0.000000,177.730000,0.000000,0.000000,308.000000,,0.000000,14.360000,11.488000,0.000000,32.000000,,0.000000,48.590000,48.590000,0.000000,99.000000,,0.832059
21,ISLNDISLET,0.792000,2.640000,1.212000,0,15,yes,0.000000,1.400000,0.000000,0.000000,33.000000,,0.000000,0.140000,0.112000,0.000000,5.000000,,0.000000,1.100000,1.100000,0.000000,10.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,22.064000,0,99,no,0.000000,70.160000,0.000000,0.000000,320.000000,,0.000000,9.030000,7.224000,0.000000,41.000000,,0.000000,14.840000,14.840000,0.000000,58.000000,,0.782162
19,CORAL3,93.045000,310.150000,85.154000,0,140,no,0.000000,213.380000,0.000000,0.000000,309.000000,,0.000000,58.080000,46.464000,0.000000,82.000000,,0.000000,38.690000,38.690000,0.000000,58.000000,,0.915192
18,CORAL2,26.310000,87.700000,8.110000,0,19,no,0.000000,78.240000,0.000000,0.000000,128.000000,,0.000000,6.750000,5.400000,0.000000,12.000000,,0.000000,2.710000,2.710000,0.000000,7.000000,,0.308248
17,CORAL1,74.082000,246.940000,74.624000,0,110,yes,0.000000,166.290000,0.000000,0.000000,271.000000,,0.000000,30.130000,24.104000,0.000000,37.000000,,0.000000,50.520000,50.520000,0.000000,73.000000,,1.000000
16,RSF,0.144000,0.480000,0.150000,0,3,yes,0.000000,0.330000,0.000000,0.000000,6.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.150000,0.150000,0.000000,3.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.530000,0,5,yes,0.000000,0.700000,0.000000,0.000000,13.000000,,0.000000,0.200000,0.160000,0.000000,2.000000,,0.000000,0.370000,0.370000,0.000000,3.000000,,1.000000
14,PUD,4.746000,15.820000,4.860000,0,44,yes,0.000000,10.440000,0.000000,0.000000,116.000000,,0.000000,2.600000,2.080000,0.000000,16.000000,,0.000000,2.780000,2.780000,0.000000,28.000000,,1.000000
13,BEACH,4.476000,14.920000,4.492000,0,35,yes,0.000000,10.000000,0.000000,0.000000,116.000000,,0.000000,2.140000,1.712000,0.000000,9.000000,,0.000000,2.780000,2.780000,0.000000,26.000000,,1.000000
12,APUF,0.294000,0.980000,0.410000,0,9,yes,0.000000,0.510000,0.000000,0.000000,13.000000,,0.000000,0.300000,0.240000,0.000000,5.000000,,0.000000,0.170000,0.170000,0.000000,4.000000,,1.000000
11,ABAS,0.156000,0.520000,0.250000,0,3,yes,0.000000,0.270000,0.000000,0.000000,6.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.250000,0.250000,0.000000,3.000000,,1.000000
10,DEEP,11.931000,39.770000,12.444000,0,18,yes,0.000000,27.230000,0.000000,0.000000,46.000000,,0.000000,0.480000,0.384000,0.000000,1.000000,,0.000000,12.060000,12.060000,0.000000,17.000000,,1.000000
9,MEDIUM,261.228000,870.760000,238.452000,0,401,no,0.000000,616.710000,0.000000,0.000000,1031.000000,,0.000000,77.990000,62.392000,0.000000,123.000000,,0.000000,176.060000,176.060000,0.000000,278.000000,,0.912812
8,SHALLOW,419.085000,1396.950000,392.820000,0,556,no,0.000000,980.830000,0.000000,0.000000,1344.000000,,0.000000,116.500000,93.200000,0.000000,156.000000,,0.000000,299.620000,299.620000,0.000000,400.000000,,0.937328
7,INVERT,161.826000,539.420000,161.846000,0,204,yes,0.000000,359.980000,0.000000,0.000000,455.000000,,0.000000,87.970000,70.376000,0.000000,99.000000,,0.000000,91.470000,91.470000,0.000000,105.000000,,1.000000
6,FISH3,9.270000,30.900000,10.062000,0,18,yes,0.000000,19.990000,0.000000,0.000000,38.000000,,0.000000,4.240000,3.392000,0.000000,6.000000,,0.000000,6.670000,6.670000,0.000000,12.000000,,1.000000
5,FISH2,5.616000,18.720000,0.352000,0,1,no,0.000000,18.280000,0.000000,0.000000,31.000000,,0.000000,0.440000,0.352000,0.000000,1.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.062678
4,FISH1,16.698000,55.660000,16.990000,0,26,yes,0.000000,36.900000,0.000000,0.000000,56.000000,,0.000000,8.850000,7.080000,0.000000,12.000000,,0.000000,9.910000,9.910000,0.000000,14.000000,,1.000000
3,SEAGRASS2,12.810000,42.700000,27.520000,0,37,yes,0.000000,15.180000,0.000000,0.000000,26.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,27.520000,27.520000,0.000000,37.000000,,1.000000
2,SEAGRASS1,19.134000,63.780000,10.524000,0,22,no,0.000000,53.250000,0.000000,0.000000,95.000000,,0.000000,0.030000,0.024000,0.000000,1.000000,,0.000000,10.500000,10.500000,0.000000,21.000000,,0.550016
1,SEAGRASS,51.012000,170.040000,29.500000,0,55,no,0.000000,138.240000,0.000000,0.000000,207.000000,,0.000000,11.500000,9.200000,0.000000,18.000000,,0.000000,20.300000,20.300000,0.000000,37.000000,,0.578295
