"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.078000,0,40,yes,0.000000,67.600000,0.000000,0.000000,104.000000,,0.000000,21.810000,17.448000,0.000000,23.000000,,0.000000,13.630000,13.630000,0.000000,17.000000,,1.000000
27,SAND,142.317000,474.390000,150.652000,0,314,yes,0.000000,314.310000,0.000000,0.000000,588.000000,,0.000000,47.140000,37.712000,0.000000,97.000000,,0.000000,112.940000,112.940000,0.000000,217.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,44.388000,0,185,no,0.000000,166.560000,0.000000,0.000000,492.000000,,0.000000,16.260000,13.008000,0.000000,52.000000,,0.000000,31.380000,31.380000,0.000000,133.000000,,0.690756
25,REEF,328.281000,1094.270000,328.606000,0,562,yes,0.000000,740.710000,0.000000,0.000000,1213.000000,,0.000000,124.770000,99.816000,0.000000,184.000000,,0.000000,228.790000,228.790000,0.000000,378.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.952000,0,67,yes,0.000000,111.200000,0.000000,0.000000,146.000000,,0.000000,10.540000,8.432000,0.000000,16.000000,,0.000000,41.520000,41.520000,0.000000,51.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.292000,0,23,yes,0.000000,29.810000,0.000000,0.000000,52.000000,,0.000000,5.240000,4.192000,0.000000,10.000000,,0.000000,9.100000,9.100000,0.000000,13.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,66.292000,0,144,no,0.000000,171.540000,0.000000,0.000000,295.000000,,0.000000,14.240000,11.392000,0.000000,32.000000,,0.000000,54.900000,54.900000,0.000000,112.000000,,0.918121
21,ISLNDISLET,0.792000,2.640000,1.298000,0,18,yes,0.000000,1.280000,0.000000,0.000000,30.000000,,0.000000,0.310000,0.248000,0.000000,8.000000,,0.000000,1.050000,1.050000,0.000000,10.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,25.562000,0,117,no,0.000000,66.900000,0.000000,0.000000,302.000000,,0.000000,7.840000,6.272000,0.000000,30.000000,,0.000000,19.290000,19.290000,0.000000,87.000000,,0.906165
19,CORAL3,93.045000,310.150000,84.852000,0,131,no,0.000000,222.270000,0.000000,0.000000,318.000000,,0.000000,15.140000,12.112000,0.000000,27.000000,,0.000000,72.740000,72.740000,0.000000,104.000000,,0.911946
18,CORAL2,26.310000,87.700000,15.434000,0,35,no,0.000000,70.540000,0.000000,0.000000,112.000000,,0.000000,8.630000,6.904000,0.000000,18.000000,,0.000000,8.530000,8.530000,0.000000,17.000000,,0.586621
17,CORAL1,74.082000,246.940000,74.342000,0,108,yes,0.000000,168.660000,0.000000,0.000000,273.000000,,0.000000,19.690000,15.752000,0.000000,28.000000,,0.000000,58.590000,58.590000,0.000000,80.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,yes,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.634000,0,5,yes,0.000000,0.600000,0.000000,0.000000,13.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.490000,0.490000,0.000000,4.000000,,1.000000
14,PUD,4.746000,15.820000,6.402000,0,49,yes,0.000000,9.120000,0.000000,0.000000,111.000000,,0.000000,1.490000,1.192000,0.000000,11.000000,,0.000000,5.210000,5.210000,0.000000,38.000000,,1.000000
13,BEACH,4.476000,14.920000,4.480000,0,39,yes,0.000000,9.930000,0.000000,0.000000,112.000000,,0.000000,2.550000,2.040000,0.000000,16.000000,,0.000000,2.440000,2.440000,0.000000,23.000000,,1.000000
12,APUF,0.294000,0.980000,0.290000,0,7,no,0.000000,0.640000,0.000000,0.000000,15.000000,,0.000000,0.250000,0.200000,0.000000,5.000000,,0.000000,0.090000,0.090000,0.000000,2.000000,,0.986395
11,ABAS,0.156000,0.520000,0.300000,0,4,yes,0.000000,0.220000,0.000000,0.000000,5.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.300000,0.300000,0.000000,4.000000,,1.000000
10,DEEP,11.931000,39.770000,11.946000,0,17,yes,0.000000,26.490000,0.000000,0.000000,47.000000,,0.000000,6.670000,5.336000,0.000000,10.000000,,0.000000,6.610000,6.610000,0.000000,7.000000,,1.000000
9,MEDIUM,261.228000,870.760000,193.330000,0,340,no,0.000000,661.740000,0.000000,0.000000,1092.000000,,0.000000,78.450000,62.760000,0.000000,128.000000,,0.000000,130.570000,130.570000,0.000000,212.000000,,0.740081
8,SHALLOW,419.085000,1396.950000,423.740000,0,580,yes,0.000000,949.600000,0.000000,0.000000,1320.000000,,0.000000,118.050000,94.440000,0.000000,169.000000,,0.000000,329.300000,329.300000,0.000000,411.000000,,1.000000
7,INVERT,161.826000,539.420000,162.006000,0,199,yes,0.000000,362.970000,0.000000,0.000000,460.000000,,0.000000,72.220000,57.776000,0.000000,85.000000,,0.000000,104.230000,104.230000,0.000000,114.000000,,1.000000
6,FISH3,9.270000,30.900000,9.644000,0,18,yes,0.000000,20.950000,0.000000,0.000000,38.000000,,0.000000,1.530000,1.224000,0.000000,5.000000,,0.000000,8.420000,8.420000,0.000000,13.000000,,1.000000
5,FISH2,5.616000,18.720000,0.360000,0,1,no,0.000000,18.270000,0.000000,0.000000,31.000000,,0.000000,0.450000,0.360000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.064103
4,FISH1,16.698000,55.660000,16.756000,0,27,yes,0.000000,38.550000,0.000000,0.000000,55.000000,,0.000000,1.770000,1.416000,0.000000,4.000000,,0.000000,15.340000,15.340000,0.000000,23.000000,,1.000000
3,SEAGRASS2,12.810000,42.700000,13.220000,0,19,yes,0.000000,29.480000,0.000000,0.000000,44.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,13.220000,13.220000,0.000000,19.000000,,1.000000
2,SEAGRASS1,19.134000,63.780000,0.030000,0,1,no,0.000000,63.750000,0.000000,0.000000,116.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.030000,0.030000,0.000000,1.000000,,0.001568
