"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,30.942000,0,40,yes,0.000000,70.600000,0.000000,0.000000,104.000000,,0.000000,7.490000,5.992000,0.000000,10.000000,,0.000000,24.950000,24.950000,0.000000,30.000000,,1.000000
27,SAND,142.317000,474.390000,162.334000,0,319,yes,0.000000,307.810000,0.000000,0.000000,583.000000,,0.000000,21.230000,16.984000,0.000000,58.000000,,0.000000,145.350000,145.350000,0.000000,261.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,51.422000,0,192,no,0.000000,160.040000,0.000000,0.000000,485.000000,,0.000000,13.690000,10.952000,0.000000,47.000000,,0.000000,40.470000,40.470000,0.000000,145.000000,,0.800218
25,REEF,328.281000,1094.270000,328.842000,0,546,yes,0.000000,750.630000,0.000000,0.000000,1229.000000,,0.000000,73.990000,59.192000,0.000000,118.000000,,0.000000,269.650000,269.650000,0.000000,428.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.120000,0,68,yes,0.000000,112.810000,0.000000,0.000000,145.000000,,0.000000,6.650000,5.320000,0.000000,9.000000,,0.000000,43.800000,43.800000,0.000000,59.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.506000,0,20,yes,0.000000,30.340000,0.000000,0.000000,55.000000,,0.000000,1.520000,1.216000,0.000000,3.000000,,0.000000,12.290000,12.290000,0.000000,17.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,57.928000,0,127,no,0.000000,181.280000,0.000000,0.000000,312.000000,,0.000000,7.360000,5.888000,0.000000,22.000000,,0.000000,52.040000,52.040000,0.000000,105.000000,,0.802282
21,ISLNDISLET,0.792000,2.640000,1.248000,0,19,yes,0.000000,1.360000,0.000000,0.000000,29.000000,,0.000000,0.160000,0.128000,0.000000,4.000000,,0.000000,1.120000,1.120000,0.000000,15.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,23.122000,0,106,no,0.000000,69.130000,0.000000,0.000000,313.000000,,0.000000,8.890000,7.112000,0.000000,32.000000,,0.000000,16.010000,16.010000,0.000000,74.000000,,0.819667
19,CORAL3,93.045000,310.150000,79.174000,0,124,no,0.000000,228.920000,0.000000,0.000000,325.000000,,0.000000,10.280000,8.224000,0.000000,19.000000,,0.000000,70.950000,70.950000,0.000000,105.000000,,0.850922
18,CORAL2,26.310000,87.700000,14.240000,0,30,no,0.000000,72.010000,0.000000,0.000000,117.000000,,0.000000,7.250000,5.800000,0.000000,14.000000,,0.000000,8.440000,8.440000,0.000000,16.000000,,0.541239
17,CORAL1,74.082000,246.940000,74.358000,0,107,yes,0.000000,167.330000,0.000000,0.000000,274.000000,,0.000000,26.260000,21.008000,0.000000,33.000000,,0.000000,53.350000,53.350000,0.000000,74.000000,,1.000000
16,RSF,0.144000,0.480000,0.148000,0,4,yes,0.000000,0.300000,0.000000,0.000000,5.000000,,0.000000,0.160000,0.128000,0.000000,3.000000,,0.000000,0.020000,0.020000,0.000000,1.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.370000,0,3,no,0.000000,0.900000,0.000000,0.000000,15.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.370000,0.370000,0.000000,3.000000,,0.971129
14,PUD,4.746000,15.820000,5.928000,0,50,yes,0.000000,9.560000,0.000000,0.000000,110.000000,,0.000000,1.660000,1.328000,0.000000,16.000000,,0.000000,4.600000,4.600000,0.000000,34.000000,,1.000000
13,BEACH,4.476000,14.920000,4.476000,0,39,yes,0.000000,10.030000,0.000000,0.000000,112.000000,,0.000000,2.070000,1.656000,0.000000,11.000000,,0.000000,2.820000,2.820000,0.000000,28.000000,,1.000000
12,APUF,0.294000,0.980000,0.460000,0,9,yes,0.000000,0.510000,0.000000,0.000000,13.000000,,0.000000,0.050000,0.040000,0.000000,1.000000,,0.000000,0.420000,0.420000,0.000000,8.000000,,1.000000
11,ABAS,0.156000,0.520000,0.180000,0,2,yes,0.000000,0.340000,0.000000,0.000000,7.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.180000,0.180000,0.000000,2.000000,,1.000000
10,DEEP,11.931000,39.770000,12.220000,0,16,yes,0.000000,27.550000,0.000000,0.000000,48.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,12.220000,12.220000,0.000000,16.000000,,1.000000
9,MEDIUM,261.228000,870.760000,205.504000,0,350,no,0.000000,657.060000,0.000000,0.000000,1082.000000,,0.000000,40.980000,32.784000,0.000000,67.000000,,0.000000,172.720000,172.720000,0.000000,283.000000,,0.786684
8,SHALLOW,419.085000,1396.950000,425.320000,0,584,yes,0.000000,955.690000,0.000000,0.000000,1316.000000,,0.000000,79.700000,63.760000,0.000000,106.000000,,0.000000,361.560000,361.560000,0.000000,478.000000,,1.000000
7,INVERT,161.826000,539.420000,161.852000,0,199,yes,0.000000,366.780000,0.000000,0.000000,460.000000,,0.000000,53.940000,43.152000,0.000000,66.000000,,0.000000,118.700000,118.700000,0.000000,133.000000,,1.000000
6,FISH3,9.270000,30.900000,9.840000,0,18,yes,0.000000,21.060000,0.000000,0.000000,38.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,9.840000,9.840000,0.000000,18.000000,,1.000000
5,FISH2,5.616000,18.720000,0.450000,0,1,no,0.000000,18.270000,0.000000,0.000000,31.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.450000,0.450000,0.000000,1.000000,,0.080128
4,FISH1,16.698000,55.660000,16.782000,0,25,yes,0.000000,38.160000,0.000000,0.000000,57.000000,,0.000000,3.590000,2.872000,0.000000,7.000000,,0.000000,13.910000,13.910000,0.000000,18.000000,,1.000000
