planning.unit,number,available,partial,reserved
5590,100,100,0,0
5589,100,100,0,0
5588,100,100,0,0
5587,100,100,0,0
5586,100,100,0,0
5585,100,100,0,0
5584,100,100,0,0
5583,100,98,2,0
5582,100,96,1,3
5581,100,97,1,2
5580,100,92,0,8
5579,100,91,1,8
5578,100,92,1,7
5577,100,96,0,4
5576,100,94,1,5
5575,100,89,0,11
5574,100,89,0,11
5573,100,82,2,16
5572,100,80,1,19
5571,100,78,5,17
5570,100,70,6,24
5569,100,84,3,13
5568,100,62,5,33
5567,100,46,11,43
5566,100,93,0,7
5565,100,97,0,3
5564,100,98,0,2
5563,100,92,1,7
5562,100,98,0,2
5561,100,59,6,35
5560,100,51,14,35
5559,100,31,18,51
5558,100,89,0,11
5557,100,98,0,2
5556,100,90,3,7
5555,100,65,18,17
5554,100,67,8,25
5553,100,79,2,19
5552,100,86,1,13
5551,100,100,0,0
5550,100,100,0,0
5549,100,100,0,0
5548,100,100,0,0
5547,100,100,0,0
5546,100,100,0,0
5545,100,100,0,0
5544,100,100,0,0
5543,100,100,0,0
5542,100,100,0,0
5541,100,100,0,0
5540,100,100,0,0
5539,100,100,0,0
5538,100,100,0,0
5537,100,100,0,0
5536,100,100,0,0
5535,100,100,0,0
5534,100,100,0,0
5533,100,100,0,0
5532,100,100,0,0
5531,100,100,0,0
5530,100,100,0,0
5529,100,100,0,0
5528,100,100,0,0
5527,100,100,0,0
5526,100,100,0,0
5525,100,97,0,3
5524,100,94,0,6
5523,100,93,3,4
5522,100,92,0,8
5521,100,90,0,10
5520,100,95,0,5
5519,100,90,0,10
5518,100,94,0,6
5517,100,90,0,10
5516,100,84,0,16
5515,100,73,0,27
5514,100,82,1,17
5513,100,85,2,13
5512,100,82,2,16
5511,100,80,4,16
5510,100,80,3,17
5509,100,74,5,21
5508,100,61,4,35
5507,100,96,1,3
5506,100,100,0,0
5505,100,97,0,3
5502,100,94,0,6
5501,100,25,7,68
5500,100,61,4,35
5499,100,32,11,57
5498,100,34,10,56
5497,100,80,4,16
5496,100,64,14,22
5495,100,53,15,32
5494,100,73,15,12
5493,100,85,2,13
5492,100,85,0,15
5491,100,100,0,0
5490,100,100,0,0
5489,100,100,0,0
5488,100,100,0,0
5487,100,100,0,0
5486,100,100,0,0
5485,100,100,0,0
5484,100,100,0,0
5483,100,100,0,0
5482,100,100,0,0
5481,100,100,0,0
5480,100,100,0,0
5479,100,100,0,0
5478,100,100,0,0
5477,100,100,0,0
5476,100,99,1,0
5475,100,100,0,0
5474,100,100,0,0
5473,100,100,0,0
5472,100,100,0,0
5471,100,100,0,0
5470,100,100,0,0
5469,100,100,0,0
5468,100,100,0,0
5467,100,100,0,0
5466,100,100,0,0
5465,100,100,0,0
5464,100,100,0,0
5463,100,100,0,0
5462,100,100,0,0
5461,100,100,0,0
5460,100,100,0,0
5459,100,100,0,0
5458,100,100,0,0
5457,100,100,0,0
5456,100,100,0,0
5455,100,93,0,7
5454,100,90,0,10
5453,100,92,1,7
5452,100,95,0,5
5451,100,91,3,6
5450,100,94,2,4
5449,100,90,0,10
5448,100,86,0,14
5447,100,83,1,16
5446,100,83,1,16
5445,100,75,1,24
5444,100,68,6,26
5443,100,55,6,39
5442,100,59,5,36
5441,100,82,2,16
5440,100,64,8,28
5439,100,82,7,11
5438,100,100,0,0
5437,100,100,0,0
5430,100,59,6,35
5429,100,94,2,4
5428,100,32,15,53
5427,100,36,20,44
