"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74512.204279,2159.880000,4237,3471,209,557,0,243,1873,72352.324279,0.000000,183.725000,13,0.014111
2,74366.871844,2023.340000,4237,3452,247,538,0,517,1462,72343.531844,0.000000,148.535000,12,-0.000000
3,74629.481409,2274.820000,4237,3478,172,587,0,656,1574,72354.661409,0.000000,158.938000,13,0.038152
4,74541.737701,2185.860000,4237,3447,261,529,0,590,1553,72355.877701,0.000000,152.194000,9,0.010034
5,74591.077389,2232.820000,4237,3451,233,553,0,371,1820,72358.257389,0.000000,153.914000,9,0.000000
6,74728.782851,2283.000000,4237,3360,109,768,0,1028,1215,72445.782851,0.000000,123.990000,10,0.056967
7,74184.518337,1847.240000,4237,3447,74,716,0,378,1427,72337.278337,0.000000,141.490000,10,0.034075
8,74567.865408,2208.970000,4237,3417,262,558,0,449,1715,72358.895408,0.000000,113.888000,11,0.000000
9,74776.310378,2416.140000,4237,3424,391,422,0,749,1623,72360.170378,0.000000,152.505000,12,0.047559
10,74491.130335,2143.420000,4237,3461,121,655,0,429,1680,72347.710335,0.000000,161.959000,12,0.007944
